Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Dr. George S. Tulevski),"So what's your major?",
2,Speaker 4 (college student),"Chemical engineering.",
3,Speaker 1 (Dr. George S. Tulevski),"What made you choose that?",
4,Speaker 4 (college student),"Like any freshman, going into chemical engineering, I was like, I like chemistry.",
5,Speaker 4 (college student),"So I'm gonna go into chemical engineering.",
6,Speaker 4 (college student),"But luckily I also like all the math and all the science too.",
7,Speaker 1 (Dr. George S. Tulevski),"So have you taken a quantum mechanics course?",
8,Speaker 4 (college student),"I have.",
9,Speaker 4 (college student),"I took that last year.",
10,Speaker 1 (Dr. George S. Tulevski),"I think to really get deep into nanomaterials and nanoscale devices, you really have to understand to some level, quantum mechanics.",
11,Speaker 1 (Dr. George S. Tulevski),"What it teaches us as we make these devices smaller and smaller, their properties begin to now depend on the size and the orientation of these devices.",
12,Speaker 1 (Dr. George S. Tulevski),"There are materials that are intrinsically thin.",
13,Speaker 1 (Dr. George S. Tulevski),"As they're grown, as they're fabricated, they're already at the nanoscale and they possess these quantum confinement properties that as a nanotechnologist, you try to exploit.",
14,Speaker 1 (Dr. George S. Tulevski),"And so the first ones I wanted to talk to you about are quantum dots.",
15,Speaker 1 (Dr. George S. Tulevski),"Have you heard of quantum dots before?",
16,Speaker 4 (college student),"Yes.",
17,Speaker 1 (Dr. George S. Tulevski),"So these are typically semiconductors.",
18,Speaker 1 (Dr. George S. Tulevski),"They can be cadmium selenide, cadmium sulfide, zinc selenide and they're small clusters of atoms.",
19,Speaker 1 (Dr. George S. Tulevski),"They can be from 2 to 10 nanometers.",
20,Speaker 1 (Dr. George S. Tulevski),"What's interesting about these materials?",
21,Speaker 4 (college student),"Well, the other day we were talking about the different dimensions you can have of nanotechnology.",
22,Speaker 4 (college student),"So all the way from like 0D to 3D.",
23,Speaker 4 (college student),"If I remember correctly, my professor labeled it as 0D.",
24,Speaker 1 (Dr. George S. Tulevski),"That's correct.",
25,Speaker 1 (Dr. George S. Tulevski),"Yeah.",
26,Speaker 1 (Dr. George S. Tulevski),"Because of quantum confinement, once you get below this 15 nanometer range, the band gap of the material depends completely on the size of the material.",
27,Speaker 1 (Dr. George S. Tulevski),"So in bulk materials, if you want to change the band gap, you have to change the material.",
28,Speaker 1 (Dr. George S. Tulevski),"But in these quantum dots specifically, just by changing the size, you can change their band gap.",
29,Speaker 1 (Dr. George S. Tulevski),"And because their band gap is changing, their optical properties are different.",
30,Speaker 1 (Dr. George S. Tulevski),"And you can precisely tune the wavelength of light that they emit just by changing their size.",
31,Speaker 4 (college student),"What are the applications of these quantum dots?",
32,Speaker 1 (Dr. George S. Tulevski),"There are people that are exploring using these materials for diode lasers.",
33,Speaker 1 (Dr. George S. Tulevski),"There are companies that are building displays from these materials.",
34,Speaker 1 (Dr. George S. Tulevski),"And there're even people thinking about if I take these quantum dots, and I change the chemistry on the outside so they stick to specific types of cells or tissue, that I could really do some interesting imaging and therapeutic work to track disease, even maybe to treat disease, if you can very precisely control the chemistry.",
35,Speaker 4 (college student),"How far away is this from being actually used on an industrial level?",
36,Speaker 1 (Dr. George S. Tulevski),"The optical applications are in development.",
37,Speaker 1 (Dr. George S. Tulevski),"The science has really been worked out.",
