Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Dr. George S. Tulevski),"I remember reading your papers when I was a student and we're all trying to create these materials and finding ways to exploit their properties.",
2,Speaker 1 (Dr. George S. Tulevski),"What I love, and I'm delighted that you're here to talk to us about is how you took inspiration from nature and sort of recognize that nature's figured out a way to both synthesize incredibly complex nanostructures with high functionality and how you sort of were inspired by that to do the research that you're doing now.",
3,Speaker 6 (expert),"Life gave us this toolkit that is already on the nanoscale.",
4,Speaker 6 (expert),"So we think that that's a great place to think about making materials on the nano scale and manipulating materials on the nano scale, and wiring them together as well.",
5,Speaker 6 (expert),"This abalone shell, you can see the exquisite beautiful colors and structures of it.",
6,Speaker 6 (expert),"This is a nano composite material.",
7,Speaker 6 (expert),"If you take this and fracture it, and you look at it in a scanning electron microscope, what you'll see is that it's made out of these beautiful tablets.",
8,Speaker 6 (expert),"And I studied that as a graduate student.",
9,Speaker 6 (expert),"I looked at that and I said, that is completely amazing.",
10,Speaker 6 (expert),"You have an organism in the ocean, that takes what's in its environment, which is calcium and carbonate.",
11,Speaker 6 (expert),"That's dissolved in the water and templates it into this really exquisite structure.",
12,Speaker 6 (expert),"And so you think that's great.",
13,Speaker 6 (expert),"Calcium carbonate is great, but what if we wanted to make a solar cell or a another electronic device or a battery, how would you get an organism to do that?",
14,Speaker 6 (expert),"And you say, okay, that's a really crazy idea.",
15,Speaker 6 (expert),"But is it really that crazy if this abalone, already figured out how to do it, 500 million years ago?",
16,Speaker 6 (expert),"So we're saying, okay, abalones build shells.",
17,Speaker 6 (expert),"Can viruses build solar cells, can viruses build catalysts?",
18,Speaker 6 (expert),"Can they build batteries using the same kind of idea?",
19,Speaker 1 (Dr. George S. Tulevski),"It's really fascinating work, especially now we're all familiar with the viruses and how they act.",
20,Speaker 1 (Dr. George S. Tulevski),"And I'm not aware of any viruses that build nanostructures.",
21,Speaker 1 (Dr. George S. Tulevski),"So how did you come to that?",
22,Speaker 1 (Dr. George S. Tulevski),"And then how do you actually program a virus to do your bidding?",
23,Speaker 6 (expert),"We work on something called bacteriophages, it's a virus with DNA.",
24,Speaker 6 (expert),"This particular bacteriophage called M13 bacteriophage is made up of single stranded DNA and proteins.",
25,Speaker 6 (expert),"It's long and thin.",
26,Speaker 6 (expert),"So it's 880 nanometers in length, and it's about 9 nanometers in diameter.",
27,Speaker 6 (expert),"And so one of the reasons I love it is it spans the nanoscale and almost the micron scale at the same time.",
28,Speaker 6 (expert),"Take the single strand DNAs, obviously a model, and you can cut it with molecular scissors.",
29,Speaker 6 (expert),"And you can put a new piece of DNA in between.",
30,Speaker 6 (expert),"And so you put a small piece of DNA in there that doesn't belong there.",
31,Speaker 6 (expert),"And that piece of DNA is going to randomly code for a protein.",
32,Speaker 6 (expert),"Now, the next time that that virus is replicated within a bacterial host, it'll be able to put a new protein sequence on the coat, just a short protein sequence on the coat, maybe like 8 or 12 amino acids in length.",
33,Speaker 6 (expert),"And just like that abalone is going to grab calcium and build calcium carbonate.",
34,Speaker 6 (expert),"We're going to have our viruses build iron phosphate for a battery electrode material or Gallium arsenide or cad sulfide for a semiconductor material.",
35,Speaker 1 (Dr. George S. Tulevski),"So you've evolved, and I suppose, trained these viruses to build the materials that you want them to build by exposing them to the raw materials and then evolving their function.",
36,Speaker 1 (Dr. George S. Tulevski),"We're talking about the electronics from nanomaterials.",
37,Speaker 1 (Dr. George S. Tulevski),"That critical issue that we're facing is how do you go from those single experiments with a single material, understanding its properties, how do you scale that to the billions of devices that you need in a technology?",
38,Speaker 1 (Dr. George S. Tulevski),"It is a chemistry driven approach.",
39,Speaker 1 (Dr. George S. Tulevski),"We're not going to grow them exactly where we want them, but to take that one step, and to tie into what you're doing, it sounds like there could be an area of collaboration where instead of using conventional chemistry, that we can train some of these biological elements to do that work work for us.",
40,Speaker 6 (expert),"Biology is chemistry.",
41,Speaker 6 (expert),"Molecules, proteins, and DNA work with all the same kinds of bonding and things that the chemicals that you're gonna be looking for in these processes.",
42,Speaker 6 (expert),"It's put together in a way that when a protein or enzyme folds, it almost always folds correctly.",
43,Speaker 6 (expert),"That's kind of the beauty of it, the predictable aspect of it encoded in its DNA.",
44,Speaker 6 (expert),"If we need to make it the same over and over again, then as long as you have the right DNA sequence, DNA is a beautiful structure on the nanoscale.",
45,Speaker 6 (expert),"And there's really, really cool, incredible work on DNA origami, when DNA can fold into just the right structure.",
46,Speaker 6 (expert),"And so I can see that as an interface, that would be really cool and interesting in your work.",
47,Speaker 6 (expert),"And you can have the virus make the DNA for the DNA origami, and then you use DNA to assemble your beautiful structures.",
48,Speaker 1 (Dr. George S. Tulevski),"It's really fascinating.",
49,Speaker 1 (Dr. George S. Tulevski),"You have all these little worker viruses building the materials for you.",
50,Speaker 1 (Dr. George S. Tulevski),"How are you then applying these materials that you're building?",
51,Speaker 6 (expert),"We started thinking about how can we make an impact in cancer?",
52,Speaker 6 (expert),"We do it mostly in imaging technology to look deep inside the body noninvasively with light.",
53,Speaker 6 (expert),"And the way that we came about that was through solar cells and batteries.",
54,Speaker 6 (expert),"We trained our viruses to pick up carbon nanotubes and hold onto them very, very tightly.",
55,Speaker 6 (expert),"And then we'll give a virus a second gene, decode for a protein, to grow, in a case of a battery, a battery electrode material.",
56,Speaker 6 (expert),"It allows it to weave together a good electrical conductor and a good ionic conductor at the same time, all within this really, really small space.",
57,Speaker 6 (expert),"And the optical properties of these carbon nanotubes are in the wavelength.",
58,Speaker 6 (expert),"That is interesting for imaging deep inside the body.",
59,Speaker 6 (expert),"We started building a bunch of imaging tools that could image above a thousand nanometers, a wave length.",
60,Speaker 6 (expert),"And so this is in and that's a really special window where you have some optical transparency of tissue in the body.",
61,Speaker 6 (expert),"The other gene, we engineered to find ovarian cancer.",
62,Speaker 6 (expert),"We developed imaging tools with Harvard Medical School and MIT Lincoln Labs to find tiny ovarian tumors.",
63,Speaker 6 (expert),"It's hard to see things less than a centimeter in size with ovarian cancer, just based on the location in the body.",
64,Speaker 6 (expert),"But with our imaging system, we could find tumors that were below a millimeter in size, actually.",
65,Speaker 1 (Dr. George S. Tulevski),"Looking ahead, 5 years, 10 years, where do you see your own work, and maybe the field more broadly?",
66,Speaker 6 (expert),"The future I'd like to see is environmentally friendly chemistry and materials synthesis.",
67,Speaker 6 (expert),"And I think that we're really going that way.",
68,Speaker 6 (expert),"If we think about batteries of the future, solar cells of the future, thinking about earth abundant materials and processes that are compatible with the earth and environment.",
69,Speaker 1 (Dr. George S. Tulevski),"One of the things I love about about nanoscience is it tends to break up the silos between those traditional scientific disciplines.",
70,Speaker 1 (Dr. George S. Tulevski),"My training was in chemistry, but I had to very quickly merged chemistry and physics.",
71,Speaker 1 (Dr. George S. Tulevski),"And now I see an area where chemistry, physics, and biology are coming together to produce new materials and new technology, and to advance the field forward.",
72,Speaker 1 (Dr. George S. Tulevski),"And so being in this field, you kind of have to cross pollinate between these different disciplines and kind of advance the field together.",
73,Speaker 6 (expert),"I agree completely.",
74,Speaker 6 (expert),"We like to solve problems.",
75,Speaker 6 (expert),"Nano bio is the toolkit that we bring a lot.",
76,Speaker 6 (expert),"It happens to be a very strong and evolving toolkit.",
