Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Amit Sahai),"What's your favorite subject?",
2,Speaker 2 (child),"I'd say math.",
3,Speaker 2 (child),"Some of the small problems can actually be really big and complicated.",
4,Speaker 2 (child),"It's like a puzzle.",
5,Speaker 1 (Amit Sahai),"I love math for the same reason.",
6,Speaker 1 (Amit Sahai),"Today, I'm gonna tell you about a thing called zero-knowledge proof.",
7,Speaker 1 (Amit Sahai),"So in a zero-knowledge proof, there are two people.",
8,Speaker 1 (Amit Sahai),"There's a prover and a verifier.",
9,Speaker 1 (Amit Sahai),"And I wanna prove that something is true to you.",
10,Speaker 1 (Amit Sahai),"But the weird thing is, I wanna prove to you that it's true without telling you any reasons why.",
11,Speaker 1 (Amit Sahai),"I remember when I first heard about it, I was like, wait, what?",
12,Speaker 1 (Amit Sahai),"How can that possibly be?",
13,Speaker 1 (Amit Sahai),"Right?",
14,Speaker 2 (child),"Yeah.",
15,Speaker 1 (Amit Sahai),"So what do you see in this photo?",
16,Speaker 1 (Amit Sahai),"A lot of penguins.",
17,Speaker 1 (Amit Sahai),"Yeah.",
18,Speaker 1 (Amit Sahai),"Hidden along all these penguins is a puffin.",
19,Speaker 1 (Amit Sahai),"Do you wanna try to look for it?",
20,Speaker 1 (Amit Sahai),"Do you see where it is?",
21,Speaker 1 (Amit Sahai),"Hmm.",
22,Speaker 1 (Amit Sahai),"I know where it is, but I don't wanna tell you.",
23,Speaker 1 (Amit Sahai),"Do you believe me?",
24,Speaker 1 (Amit Sahai),"You're not sure to believe me.",
25,Speaker 1 (Amit Sahai),"Right?",
26,Speaker 2 (child),"Yeah.",
27,Speaker 1 (Amit Sahai),"But what if I could prove to you that I know where the puffin is without revealing to you where it is?",
28,Speaker 1 (Amit Sahai),"Let me show you.",
29,Speaker 1 (Amit Sahai),"I took that photo that we showed you.",
30,Speaker 1 (Amit Sahai),"And I put it behind this poster here.",
31,Speaker 1 (Amit Sahai),"Why don't you go take a look through that hole?",
32,Speaker 2 (child),"I see the puffin.",
33,Speaker 1 (Amit Sahai),"So when you look at this board, we don't know where the photo was, right?",
34,Speaker 1 (Amit Sahai),"Was the photo like with the corner here?",
35,Speaker 1 (Amit Sahai),"In which case the puffin would be all the way at this side.",
36,Speaker 1 (Amit Sahai),"Or was the photo with the corner here?",
37,Speaker 1 (Amit Sahai),"In which case the puffin would be on the other side.",
38,Speaker 1 (Amit Sahai),"So this is a really simple example of a zero-knowledge proof.",
39,Speaker 1 (Amit Sahai),"I convinced you that I knew where the puffin was, but you didn't learn anything else.",
40,Speaker 2 (child),"Why do you study zero-knowledge proof?",
41,Speaker 1 (Amit Sahai),"When I first learned about them, I just thought they were so cool.",
42,Speaker 1 (Amit Sahai),"But it turns out they're also really useful, not just for finding like, puffins.",
43,Speaker 1 (Amit Sahai),"If you just type in your password and the hacker hacks into the computer, they can just get your password.",
44,Speaker 1 (Amit Sahai),"Right?",
45,Speaker 2 (child),"Yeah.",
46,Speaker 1 (Amit Sahai),"What if instead, we could somehow use a zero-knowledge proof to log in.",
47,Speaker 1 (Amit Sahai),"You would just be able to prove that, hey, I'm Chelsea, without revealing anything to them.",
48,Speaker 1 (Amit Sahai),"If you could do that, then it would be amazing, right?",
49,Speaker 2 (child),"Yeah.",
50,Speaker 1 (Amit Sahai),"Because then even if the hacker hacked into the computer, he wouldn't learn anything.",
51,Speaker 1 (Amit Sahai),"Because even the computer doesn't learn anything.",
52,Speaker 1 (Amit Sahai),"So Chelsea, in your own words, what is a zero-knowledge proof?",
53,Speaker 2 (child),"Zero-knowledge proof is proof to a statement.",
54,Speaker 2 (child),"You don't show them why or what.",
55,Speaker 2 (child),"You just show them a tiny segment.",
56,Speaker 2 (child),"Or just do some sort of, weird magic trick that's not really a magic trick, and they will be convinced.",
57,Speaker 2 (child),"And you didn't show them why, or anything like that.",
