Sequence,Speaker,Utterance,Notes
1,"Speaker 2 (Genesis - child)","what's this",""
2,"Speaker 1 (Talia Gershon)","yeah what do you think that is",""
3,"Speaker 2 (Genesis - child)","fancy chandelier",""
4,"Speaker 1 (Talia Gershon)","i think so too we jokingly call it the chandelier",""
5,"Speaker 1 (Talia Gershon)","that's real gold you know",""
6,"Speaker 1 (Talia Gershon)","this is a quantum computer",""
7,"Speaker 2 (Genesis - child)","it's a clunt",""
8,"Speaker 1 (Talia Gershon)","it's a really special kind of computer",""
9,"Speaker 2 (Genesis - child)","what does it do",""
10,"Speaker 1 (Talia Gershon)","it calculates things but in a totally different way to how your computer calculates things",""
11,"Speaker 1 (Talia Gershon)","what do you think this is",""
12,"Speaker 2 (Genesis - child)","an A",""
13,"Speaker 1 (Talia Gershon)","yeah do you know what your computer thinks that is",""
14,"Speaker 2 (Genesis - child)","zero one",""
15,"Speaker 1 (Talia Gershon)","this really specific combination of zeros and ones",""
16,"Speaker 1 (Talia Gershon)","everything that your computer does showing you pink panther videos on youtube calculating things searching the internet it does all of that with a really specific combination of zeros and ones which is crazy right",""
17,"Speaker 1 (Talia Gershon)","that would be like saying your computer only understands these quarters",""
18,"Speaker 1 (Talia Gershon)","for each quarter you need to tell it that you're going to use heads tails and you assign it heads or tails",""
19,"Speaker 1 (Talia Gershon)","so i can switch between heads and tails and i can switch the zeros and ones in my computer so that it represents what i wanted to represent like an a",""
20,"Speaker 1 (Talia Gershon)","and with quantum computers we have new rules we get to use too",""
21,"Speaker 1 (Talia Gershon)","we can actually spin one of our quarters so it doesn't have to choose just one or the other",""
22,"Speaker 2 (Genesis - child)","can computers help you with um your homework your really hard homework",""
23,"Speaker 1 (Talia Gershon)","yeah they can",""
24,"Speaker 1 (Talia Gershon)","especially if doing your homework involves calculating something or finding information",""
25,"Speaker 1 (Talia Gershon)","but what if your homework was to discover something totally new",""
26,"Speaker 1 (Talia Gershon)","a lot of those discovery questions are much harder to solve using the computers we have today",""
27,"Speaker 1 (Talia Gershon)","so the reason we're building these kinds of computers is because we think that maybe one day they're going to do a lot of really important things like help us understand nature better maybe help us create new medicines to help people.",""
