Sequence,Speaker,Utterance,Notes
1,"Speaker 1 (Talia Gershon)","what's your favorite kind of computer smartphone tablet regular laptop pc",""
2,"Speaker 3 (Jesse - teen)","i've got to go with my iphone",""
3,"Speaker 1 (Talia Gershon)","so what do you do with your iphone",""
4,"Speaker 3 (Jesse - teen)","social media um use it for your studying",""
5,"Speaker 1 (Talia Gershon)","have you ever run out of space on your iphone",""
6,"Speaker 3 (Jesse - teen)","all the time",""
7,"Speaker 1 (Talia Gershon)","me too",""
8,"Speaker 3 (Jesse - teen)","yeah always when i'm trying to take a photo",""
9,"Speaker 1 (Talia Gershon)","so did you know that there's certain kinds of problems that computers sort of run out of space almost",""
10,"Speaker 1 (Talia Gershon)","like you're trying to solve the problem and just like how you run out of space on your iphone when you're trying to take a picture if you're trying to solve the problem you just run out of space",""
11,"Speaker 1 (Talia Gershon)","and even if you have the world's biggest supercomputer did you know that can still happen",""
12,"Speaker 3 (Jesse - teen)","wow",""
13,"Speaker 1 (Talia Gershon)","so my team is working on building new kinds of computers all together ones that operate by totally different set of rules",""
14,"Speaker 1 (Talia Gershon)","so do you know what that is",""
15,"Speaker 3 (Jesse - teen)","i have no clue",""
16,"Speaker 1 (Talia Gershon)","it's a quantum computer",""
17,"Speaker 3 (Jesse - teen)","a what",""
18,"Speaker 1 (Talia Gershon)","you ever heard of a quantum computer",""
19,"Speaker 3 (Jesse - teen)","i haven't",""
20,"Speaker 1 (Talia Gershon)","have you ever heard of the word quantum",""
21,"Speaker 3 (Jesse - teen)","no",""
22,"Speaker 1 (Talia Gershon)","okay so quantum mechanics is a branch of science just like any other branch of science",""
23,"Speaker 1 (Talia Gershon)","it's a branch of physics",""
24,"Speaker 1 (Talia Gershon)","it's the study of things that are either really really small really really well isolated and really really cold",""
25,"Speaker 1 (Talia Gershon)","and this particular branch of science is something we're using to totally reimagine how computing works",""
26,"Speaker 1 (Talia Gershon)","so we're building totally new kinds of computers based on the laws of quantum mechanics that's what a quantum computer is",""
27,"Speaker 3 (Jesse - teen)","huh",""
28,"Speaker 1 (Talia Gershon)","i'm going to start by telling you about something called superposition so i'm going to explain it using this giant penny",""
29,"Speaker 3 (Jesse - teen)","wow is that like worth 100 pennies",""
30,"Speaker 1 (Talia Gershon)","i don't know what it's worth but uh i can put it face up right in that heads i can put it face down right",""
31,"Speaker 1 (Talia Gershon)","so at any given time point in time if i ask you is my penny heads or tails probably you could answer it right",""
32,"Speaker 3 (Jesse - teen)","yeah",""
33,"Speaker 1 (Talia Gershon)","okay but what if i spin the penny",""
34,"Speaker 3 (Jesse - teen)","hmm",""
35,"Speaker 1 (Talia Gershon)","so let's do it okay so while it's spinning is it heads or tails",""
36,"Speaker 3 (Jesse - teen)","head",""
37,"Speaker 1 (Talia Gershon)","while it's spinning",""
38,"Speaker 3 (Jesse - teen)","oh it i would know it's sort of",""
39,"Speaker 1 (Talia Gershon)","it's sort of a combination of heads and tails right would you say",""
40,"Speaker 1 (Talia Gershon)","so superposition is this idea that my penny is not just either heads or tails it's in this state which is a combination of heads and tails",""
41,"Speaker 1 (Talia Gershon)","this quantum property is something that we can have in real real physical objects in the world",""
42,"Speaker 1 (Talia Gershon)","so that's super position and the second thing that we'll talk about is called entanglement so now i'm going to give you a penny wow",""
43,"Speaker 1 (Talia Gershon)","when we use the word entangled in everyday language what do we mean",""
44,"Speaker 3 (Jesse - teen)","that something's intertwined or",""
45,"Speaker 1 (Talia Gershon)","exactly that there's two things that are connected in some way",""
46,"Speaker 1 (Talia Gershon)","and usually we can separate them again yeah your hair is tangled or whatever you can you can untangle it right",""
47,"Speaker 3 (Jesse - teen)","yeah",""
48,"Speaker 1 (Talia Gershon)","but in the quantum world when we entangle things they're really now connected it's much much harder to separate them again",""
49,"Speaker 1 (Talia Gershon)","so using the same analogy we spin our pennies and eventually eventually they both stop right and when they stop it's either heads or tails right",""
50,"Speaker 1 (Talia Gershon)","so in my case i got tails and you got heads you see how they're totally disconnected from each other right our pennies in the real world",""
51,"Speaker 1 (Talia Gershon)","now if our pennies were entangled and we both spun them together right when we stopped them if you measured your penny to be ahead i would measure my penny to be ahead",""
52,"Speaker 1 (Talia Gershon)","and if you measured your penny to be a tails i would measure my opinion to be a tails if",""
53,"Speaker 1 (Talia Gershon)","we measured it at exactly the same time we would still find that they were both exactly correlated",""
54,"Speaker 3 (Jesse - teen)","that's crazy that's so cool right oh my god",""
55,"Speaker 1 (Talia Gershon)","the way that we are able to actually see these quantum properties is by making our quantum chips really really cold so that's what this is all about actually this is called a dilution refrigerator and it's a refrigerator it doesn't look like a normal refrigerator right",""
56,"Speaker 1 (Talia Gershon)","but it's something that we use actually there's usually a case around it to cool our quantum chips down cold enough that we can create superpositions and we can entangle qubits and the information isn't lost to the environment",""
57,"Speaker 3 (Jesse - teen)","like what could those chips be used to do",""
58,"Speaker 1 (Talia Gershon)","so one of the things that we're trying to use quantum computers to do is simulating chemical bonding",""
59,"Speaker 1 (Talia Gershon)","use a quantum system to model a quantum system",""
60,"Speaker 3 (Jesse - teen)","yeah i mean i'm definitely going to impress all my friends when i tell them about this they're going to be like quantum what",""
