Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Dr. Bobby Kasthuri),"do you know why we're here today",
2,Speaker 2 (child - Daniel),"because we're talking about science",
3,Speaker 1 (Dr. Bobby Kasthuri),"yes we're going to talk about science and we're going to talk about a very specific kind of science about people who study brains ",
4,Speaker 1 (Dr. Bobby Kasthuri),"do you know what a brain is what is it and",
5,Speaker 2 (child - Daniel),"something that helps you remember things",
6,Speaker 1 (Dr. Bobby Kasthuri),"definitely so what we're going to talk about about is is something that people study in a brain called the connectone",
7,Speaker 1 (Dr. Bobby Kasthuri),"do you know that your body is made up of really tiny things called cells",
8,Speaker 2 (child - Daniel),"um yes I know that okay",
9,Speaker 1 (Dr. Bobby Kasthuri),"well there's more cells in your brain like way more cells than than all the stars we can see.",
10,Speaker 1 (Dr. Bobby Kasthuri),"and so what the connectome is is we'd like to know where every cell in your brain is and how it talks to every other cell in your brain",
11,Speaker 2 (child - Daniel),"Oh.",
12,Speaker 1 (Dr. Bobby Kasthuri),"that was awesome Daniel thank you",
