Sequence,Speaker,Utterance,Notes
1,"Speaker 3 (Jabez Griggs)","connect tone",""
2,"Speaker 1 (Dr. Bobby Kasthuri)","connectome.",""
3,"Speaker 3 (Jabez Griggs)","to be honest I have no idea.",""
4,"Speaker 1 (Dr. Bobby Kasthuri)","that's good that's a great place to start.",""
5,"Speaker 1 (Dr. Bobby Kasthuri)","there are cells in your brain those brain cells are connected by wires to each other electricity travels down those wires and communicates from one part of the brain to the other part of the brain.",""
6,"Speaker 1 (Dr. Bobby Kasthuri)","and each of those brain cells makes you know a thousand connections something like a 100 trillion connections.",""
7,"Speaker 3 (Jabez Griggs)","uh.",""
8,"Speaker 1 (Dr. Bobby Kasthuri)","in one brain.",""
9,"Speaker 1 (Dr. Bobby Kasthuri)","in your brain if could I take all of that information and put it inside a computer would that computer then be you?",""
10,"Speaker 3 (Jabez Griggs)","computers they don't have feelings.",""
11,"Speaker 3 (Jabez Griggs)","they won't have feelings and I think that's one thing that makes the human race wrong.",""
12,"Speaker 1 (Dr. Bobby Kasthuri)","I would say that that map also has your feelings in it because here's why your feelings most neuro scientists think come from your brain anyway.",""
13,"Speaker 1 (Dr. Bobby Kasthuri)","and amazingly whether when you feel happy or sad or angry or scared that's just brain cells communicating with each other.",""
