Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Neville Sanjana),"So Matt, what are you doing right now in the lab and how are you using gene editing in your own work?",
2,Speaker 6 (Matthew Canver),"Right now, one of the questions I've been very much interested in is trying to understand the effect of human genetic variation on using crisper cast 9 reagents.",
3,Speaker 6 (Matthew Canver),"Because you and I just sitting here differ in millions of different locations within our genome.",
4,Speaker 6 (Matthew Canver),"We use these guide RNAs which are 20 base pairs and we match it to different places in the genome.",
5,Speaker 6 (Matthew Canver),"But what if there's a mutation at that site and how does that affect ?”,
6,Speaker 1 (Neville Sanjana),"a mutation that's different between you and me It's the same site but there's a slight difference in the DNA between you and me.",
7,Speaker 6 (Matthew Canver),"Exactly.",
8,Speaker 6 (Matthew Canver),"Let's say in you it's a perfect match and in me there's one that's actually a mismatch.",
9,Speaker 6 (Matthew Canver),"And how does that affect things in the lab?",
10,Speaker 6 (Matthew Canver),"Because maybe it won't be as efficient.",
11,Speaker 6 (Matthew Canver),"It won't be able to bring cast 9 to the correct site and cut there.",
12,Speaker 1 (Neville Sanjana),"So when people are using crisper now in the lab, are they really sequencing the exact cell type they use? Sequencing reading out the genome of that cell before they use crisper.",
13,Speaker 1 (Neville Sanjana)," Sequencing reading out the genome of that cell before they use crisper.",
14,Speaker 6 (Matthew Canver),"Not many do that.",
15,Speaker 6 (Matthew Canver),"It would ultimately the best way to do it for sure because the reference genome that was published in 2001 was kind of just one person's genome.",
16,Speaker 6 (Matthew Canver),"And as we know very well from sequencing many different individuals, there are a lot of differences.",
17,Speaker 6 (Matthew Canver),"And so there are some concerns that when you use these in the lab that you're intending for a cut to be made in this one place in the genome.",
18,Speaker 6 (Matthew Canver),"But if there happens to be a mismatch there because of some variant in the cells that you're studying.",
19,Speaker 6 (Matthew Canver),"Maybe it won't cut there at all.",
20,Speaker 6 (Matthew Canver),"And even maybe worse is that maybe it'll cut somewhere else because maybe now it can match elsewhere.",
21,Speaker 1 (Neville Sanjana),"So So you're saying right now that it's it's kind of early days with crisper, and that there's a lot of technical issues that really need to be ironed out, that it's not anything can be targeted at any time. ",
22,Speaker 1 (Neville Sanjana),"We're trying to develop the scientific steps that will take us to that kind of total genome control.",
23,Speaker 6 (Matthew Canver),"It is still the early days and as much progress has been done which is actually quite remarkable given how new this technology is.",
24,Speaker 6 (Matthew Canver),"I mean we're just a few years away from when it was really started being used for these applications.",
25,Speaker 6 (Matthew Canver),"However, having said that it holds a lot of potential and I think can get there.",
26,Speaker 6 (Matthew Canver),"But there's still a lot of issues and concerns that need to be worked out.",
27,Speaker 1 (Neville Sanjana),"I was going to say that a lot of what inspired me to get into um bioengineering are are movies like uh Jurassic Park um, which both shows the good and the bad sides of manipulating the nature around us.",
28,Speaker 1 (Neville Sanjana),"And so maybe it's a bit of a silly question, but what do you think in our lifetime. Will we see something like Jurassic Park where where humans have actually engineered uh different different animals?",
29,Speaker 6 (Matthew Canver),"Anything is possible.",
30,Speaker 6 (Matthew Canver),"Um I'm not sure that we will see that in our lifetimes.",
31,Speaker 6 (Matthew Canver),"But I would be very excited to attend Jurassic Park if that were the case.",
32,Speaker 6 (Matthew Canver),"Having said that, I do think that crisper cast 9 does have a lot of potential to do things that are kind of out of the box.",
33,Speaker 6 (Matthew Canver),"In the past few years, we've been able to tackle ideas that people didn't even think were possible before that.",
34,Speaker 6 (Matthew Canver),"More than anything, Crisper has created a whole open field of opportunities.",
35,Speaker 6 (Matthew Canver),"And so whether or not that leads us to Jurassic Park, I can't tell you that answer for sure, but I certainly hope that it does.",
36,Speaker 1 (Neville Sanjana),"And I think you're right that the opportunities might be much broader than just biomedical science.",
37,Speaker 1 (Neville Sanjana),"It might be things like using DNA as a hard drive, being able to uh use crisper as a diagnostic instead of just a tool for for editing.",
38,Speaker 1 (Neville Sanjana),"Can we yeah use cells to record data over time with with crisper?",
39,Speaker 1 (Neville Sanjana),"Can we use crisper to track cells in a developing embryo?",
40,Speaker 1 (Neville Sanjana),"I think this is one of the most exciting recent uses of crisper. I've seen that I would have never predicted uh a year ago.",
41,Speaker 1 (Neville Sanjana),"The dominant paradigm right now is crisper is just for cutting DNA.",
42,Speaker 1 (Neville Sanjana),"But when you think of it more as a general platform, a pointer to a location in a genome, then that becomes a very very powerful thing.",
43,Speaker 1 (Neville Sanjana),"Do you think crisper will be helpful for understanding human v variation beyond what we already have just by sequencing people's genomes?",
44,Speaker 6 (Matthew Canver),"Yes, absolutely.",
45,Speaker 6 (Matthew Canver),"I think that the real power of crisper it lets us to follow up on this genetic information that we've been studying and following for a very long time now.",
46,Speaker 6 (Matthew Canver),"There have been a lot of studies where you take a group of people with disease X and people without that disease, and you see if any mutations seem to be preferentially in the group with the disease and kind of absent in the group without the disease.",
47,Speaker 1 (Neville Sanjana),"People have observed these differences.",
48,Speaker 1 (Neville Sanjana),"But what you're saying is with crisper we can now test is this causal this factor.",
49,Speaker 1 (Neville Sanjana),"If we make this mutation does it cause the disease?",
50,Speaker 1 (Neville Sanjana),"Does it either create sickle cell anemia or amilarate sickle cell anemia and pre and prevent it?","[cickle = sickle; amilarate = ameliorate]"
51,Speaker 1 (Neville Sanjana),"Do you think we we'll ever be at a place where based on looking at someone's genome and these kinds of crisper functional screens, we can predict what kinds of diseases these people might get 10 20 years in the future.",
52,Speaker 6 (Matthew Canver),"I think that's certainly a great goal.",
53,Speaker 6 (Matthew Canver),"As of now, we tend to focus on variants or mutations that we know the function.",
54,Speaker 1 (Neville Sanjana),"What about mutations we've never seen before? Something that comes from, let's say, UV radiation in melanoma or something.",
55,Speaker 6 (Matthew Canver),"I think that we will ultimately have the power to do that.",
56,Speaker 6 (Matthew Canver),"And so thinking about when you start from a mutation, do you look at the expression of RNA? Is that changed? ",
57,Speaker 6 (Matthew Canver),"Is it changing things at the protein level?",
58,Speaker 1 (Neville Sanjana),"So, so this is interesting.",
59,Speaker 1 (Neville Sanjana),"So you mentioned that we can analyze genomes the DNA level and then you said the RNA level looking at the expression of genes. And then the proteins the products that they actually make with proteomics or mass uh uh spectrometry.",
60,Speaker 1 (Neville Sanjana),"But do you think it's kind of like another level of understanding the function of the genome or do you view it as part of one of those levels?",
61,Speaker 6 (Matthew Canver),"I do think it provides a different level of data.",
62,Speaker 6 (Matthew Canver),"The ability to rapidly and genomewide assess and make changes at the DNA level. And then look at the resulting changes at the RNA and protein level.",
63,Speaker 6 (Matthew Canver),"I think is something that we haven't been able to do and is now I think going to rapidly advance understanding at a genetic level, at the DNA level of a lot of different diseases.",
64,Speaker 1 (Neville Sanjana),"So, so you and I have done functional screens.",
65,Speaker 1 (Neville Sanjana),"We've done these large scale crisper screens where we modify many genes, thousands of genes or thousands of locations in the genome. All in kind of a test system.",
66,Speaker 1 (Neville Sanjana),"But do you ever see this one day, the idea of these multipplex pulled crisper screens, going into the clinic that we actually take a clinical cell line a cell line from a patient?",
67,Speaker 6 (Matthew Canver),"Absolutely.",
68,Speaker 6 (Matthew Canver),"I think that is kind of one of the ultimate goals.",
69,Speaker 6 (Matthew Canver),"Ultimately, it would be very nice to be able to correct the mutations for these diseases we've known about for sometimes hundreds of years. And we just haven't been able to do anything about.",
70,Speaker 1 (Neville Sanjana),"There's a lot of kind of ethical issues surrounding very reasonably using crisper in the clinic.",
71,Speaker 6 (Matthew Canver),"I think there's a lot of concern about trying to use crisper technology or other genome technologies, to make humans designed in a specific way whether you want to change eye color, height or things like that.",
72,Speaker 6 (Matthew Canver),"The kind of irony of that situation is that the genetics of a lot of the traits that are, you know, you can see by just looking at a person, are quite complex and are not worked out in the same way.",
73,Speaker 1 (Neville Sanjana),"So, so you're saying that the ethical problem is not really right now a clear and present issue. Because for many of these um perhaps a little bit more superficial traits that we have. We don't really even know what what genes can control these these traits.",
74,Speaker 1 (Neville Sanjana),"Though it's probably a good idea to start thinking a little bit about engineering somatic cells. Versus um germline cells which are passed on to to future generations.",
75,Speaker 1 (Neville Sanjana),"And I think one nice thing is that most scientists agree that for at least for human gene editing, that we need to focus on sematic cells where which really impacts a lot of people with these diseases.",
76,Speaker 1 (Neville Sanjana),"And that there's many many issues around editing the germ line, where there you're um doing something that might be inherited for for many many generations.",
77,Speaker 1 (Neville Sanjana),"So it's it's kind of an interesting misconception that people think that crisper is just one thing. Just one enzyme cast 9.",
78,Speaker 6 (Matthew Canver),"I think that's a really great point and that speaks to just how fast this technology is developing, because it started with us just knowing about cast 9 but in just ","[espiogyny = S. pyogenes]"
79,Speaker 1 (Neville Sanjana), “just one cast 9 right S. pyogenes cast 9 was kind of the first one used for gene editing in in human cells.","[espiogyny = S. pyogenes]"
80,Speaker 6 (Matthew Canver),"Exactly.",
81,Speaker 6 (Matthew Canver),"And just in the past few years this this toolbox has now been expanded well past that.",
82,Speaker 6 (Matthew Canver),"For example, you can look into other different species of bacteria to find cast 9.",
83,Speaker 1 (Neville Sanjana),"So, so cast 9 is over many different species.",
84,Speaker 6 (Matthew Canver),"It's over a tremendous amount of bacteria.",
85,Speaker 6 (Matthew Canver),"And so you had referenced strep pyogenes cast 9.",
86,Speaker 6 (Matthew Canver),"Well, if they you look into staphylococcus aureus, you can also find cast 9.","[staflacus orius = S. aureus]"
87,Speaker 6 (Matthew Canver),"And that cast 9 is just slightly different.",
88,Speaker 6 (Matthew Canver),"It can target different regions of the genome.",
89,Speaker 6 (Matthew Canver),"And so that opens up a whole new set of possibilities in terms of genome editing.",
90,Speaker 1 (Neville Sanjana),"So it increases the targetable space within the human genome.",
91,Speaker 1 (Neville Sanjana),"You can target more regions that you couldn't with that first first cast 9.",
92,Speaker 1 (Neville Sanjana),"And and what I find actually is a really interesting thing.",
93,Speaker 1 (Neville Sanjana),"Is that there's this huge metagenomic diversity of different crisper systems, and most of them are really just not even well characterized yet.",
94,Speaker 1 (Neville Sanjana),"And I think the best example of that we were talking about it earlier is this new RNA targeting crisper.",
95,Speaker 1 (Neville Sanjana),"So instead of cutting DNA it targets RNA.",
96,Speaker 6 (Matthew Canver),"And I think this is just one example of a complete paradigm shift.",
97,Speaker 6 (Matthew Canver),"I don't think anyone had necessarily predicted at beginning that this would be one of the things that just was created and existed in nature and it just took some time for people to uncover it.",
98,Speaker 1 (Neville Sanjana),"I think it's a great good example of why it's important actually to fund basic science. Because you sometimes when you start down a certain path, you never know where you're going to end up in the end.",
99,Speaker 6 (Matthew Canver),"The more research that can be done in this area can really unleash new possibilities.",
100,Speaker 6 (Matthew Canver),"Finding new things, different versions of cast 9 or other things that function like cast 9.",
101,Speaker 6 (Matthew Canver),"Or things completely different that at this moment I can't even think of.",
102,Speaker 6 (Matthew Canver),"The possibilities are endless to be a little cliche about it.",
103,Speaker 1 (Neville Sanjana),"No, literally I think they are endless for sure.",
