Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Neville Sanjana),"Have you heard about crisper?",
2,Speaker 4 (Christopher - Student),"Yes, this revolutionary gene editing tool.",
3,Speaker 4 (Christopher - Student),"I know there have been uh previous gene editing tools, but crisper is more revolutionary in that it's more precise and a little bit more affordable.",
4,Speaker 1 (Neville Sanjana),"Do you know how crisper works?",
5,Speaker 4 (Christopher - Student),"So it works where you have this crisper this cast 9 complex and protein cast 9 protein cast 9 protein complex along with uh something called a guide RNA.",
6,Speaker 1 (Neville Sanjana),"That's right.",
7,Speaker 1 (Neville Sanjana),"That's right.",
8,Speaker 4 (Christopher - Student),"And that RNA will basically tell this protein where to go and what gene to sort of cut out.",
9,Speaker 1 (Neville Sanjana),"Right.",
10,Speaker 1 (Neville Sanjana),"And this is what makes the crisper system very programmable.",
11,Speaker 1 (Neville Sanjana),"Is that the little piece of guide RNA is easy to make.",
12,Speaker 1 (Neville Sanjana),"We can program crisper to go to many different places in the genome quite easily.",
13,Speaker 4 (Christopher - Student),"From what I've heard, they're like close to almost curing muscular dystrophy with it.","[musculardrophe = muscular dystrophy]"
14,Speaker 4 (Christopher - Student),"But there's a lot of, I guess, ethical issues that come up with it, too.",
15,Speaker 1 (Neville Sanjana),"One of the really nice things actually about crisper is that we can use it in human cells.",
16,Speaker 1 (Neville Sanjana),"You know, if you ask most people, should you use it to cure cancer?",
17,Speaker 1 (Neville Sanjana),"Mo most people would say, yeah, those those are are good good uses.",
18,Speaker 1 (Neville Sanjana),"But there are other areas that are a little bit more problematic.",
19,Speaker 1 (Neville Sanjana),"Like editing the germ line, which means something that um could be passed on.",
20,Speaker 4 (Christopher - Student),"Ethics wise, a lot of people will have that natural reaction of fear against something new.",
21,Speaker 4 (Christopher - Student),"Cuz it has a lot of potential, and we just don't know where it can take us yet.",
22,Speaker 4 (Christopher - Student),"It was sort of similar to like when people started doing in vitro fertilization.",
23,Speaker 1 (Neville Sanjana),"Test tube babies.",
24,Speaker 4 (Christopher - Student),"Test babies.",
25,Speaker 1 (Neville Sanjana),"That was the kind of scare.",
26,Speaker 4 (Christopher - Student),"Exactly.",
27,Speaker 4 (Christopher - Student),"Exactly.",
28,Speaker 4 (Christopher - Student),"But now we see it's perfectly fine as long you know it's regulated.",
29,Speaker 4 (Christopher - Student),"And plenty of people I know some people who came up from that.",
