Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Neville Sanjana),"So there's been a lot of talk about using crisper for gene editing in humans.",
2,Speaker 1 (Neville Sanjana),"And that that can be a controversial thing.",
3,Speaker 5 (Lauren Schiff),"I think very naturally there's many aspects of ethics that need to be looked at.",
4,Speaker 5 (Lauren Schiff),"Firstly, if we're talking about using crisper, are we using it in somatic cells such as TE-C cells?","[sematic = somatic; TE-C = T cells]"
5,Speaker 5 (Lauren Schiff),"Or are we using it in embryos or germ stem cells?",
6,Speaker 5 (Lauren Schiff),"And the issue with that is now you're modifying the genome at a germline level.",
7,Speaker 1 (Neville Sanjana),"Any unintended consequences could go forward many generations.",
8,Speaker 1 (Neville Sanjana),"You're saying with germline editing.",
9,Speaker 5 (Lauren Schiff),"sure, there's unintended consequences, But there's also lack of consent.",
10,Speaker 1 (Neville Sanjana),"If you are not around, you can't consent.",
11,Speaker 5 (Lauren Schiff),"Exactly.",
12,Speaker 5 (Lauren Schiff),"So these future generations or products of crisper they can't consent.",
13,Speaker 5 (Lauren Schiff),"Another I think ethical component is if crisper does make it to market who will have access to it.",
14,Speaker 5 (Lauren Schiff),"Is that going to be cost prohibitive?",
15,Speaker 5 (Lauren Schiff),"Will only a certain select few be able to use it?",
16,Speaker 1 (Neville Sanjana),"As many new cancer drugs are today, right?",
17,Speaker 1 (Neville Sanjana),"Will that be how it is?",
18,Speaker 1 (Neville Sanjana),"Yeah.",
19,Speaker 5 (Lauren Schiff),"Would people start using it for non-therapeutic reasons?",
20,Speaker 5 (Lauren Schiff),"And I think this then can get into a whole slippery slope.",
21,Speaker 1 (Neville Sanjana),"So, I think a lot of people are concerned maybe that crisper will be used in kind of frivolous ways.",
22,Speaker 1 (Neville Sanjana),"Maybe just to choose somebody's eye color or or how tall they are or what color hair they have.",
23,Speaker 1 (Neville Sanjana),"And I think what a lot of people don't realize maybe is that the state of genetics is not quite there.",
24,Speaker 5 (Lauren Schiff),"It's nice to think that I can go in and choose exactly what eye color I want.",
25,Speaker 5 (Lauren Schiff),"But fundamentally science doesn't exactly know all of that yet.",
26,Speaker 5 (Lauren Schiff),"We don't know every single gene related to eye color nor the regulatory mechanisms nor the epigenetics.",
27,Speaker 5 (Lauren Schiff),"This is a huge, huge issue.",
28,Speaker 1 (Neville Sanjana),"So we can use crisper now to try and understand better how do our genes relate to these these different features.",
29,Speaker 1 (Neville Sanjana),"These different phenotypes that that we have.",
30,Speaker 1 (Neville Sanjana),"There's a lot of work left to do before we even know what I think what are the knobs and dials.",
31,Speaker 1 (Neville Sanjana),"What are the controls that you know affect eye color or how tall you are.",
32,Speaker 1 (Neville Sanjana),"So I think this question right now, even though it's important to discuss.",
33,Speaker 1 (Neville Sanjana),"I kind of feel like it's more theoretical right now.",
34,Speaker 5 (Lauren Schiff),"Yeah.",
35,Speaker 5 (Lauren Schiff),"Or is it really even a point necessary for conversation?",
36,Speaker 5 (Lauren Schiff),"Because people are going out every single day and getting plastic surgery to change how they look.",
37,Speaker 5 (Lauren Schiff),"How is this any different?",
38,Speaker 5 (Lauren Schiff),"And in the same slant, people are using in vitro fertilization, right?",
39,Speaker 5 (Lauren Schiff),"So this is manipulating genomes.",
40,Speaker 5 (Lauren Schiff),"You're choosing which embryos to implant.",
41,Speaker 5 (Lauren Schiff),"So we're almost doing little aspects of what crisper has the potential to do.",
