Sequence,Speaker,Utterance,Notes
1,"Speaker 1 (Dr. Anne White)","What's your name, tell me a little bit about yourself.",""
2,"Speaker 2 (child – Amelia)","I'm Amelia, I'm nine years old.",""
3,"Speaker 2 (child – Amelia)","I'm in third grade, and my favorite subject at school is definitely science.",""
4,"Speaker 1 (Dr. Anne White)","So my son is five years old.",""
5,"Speaker 1 (Dr. Anne White)","And he asked me what kind of science I do.",""
6,"Speaker 1 (Dr. Anne White)","And I said fusion.",""
7,"Speaker 1 (Dr. Anne White)","And I said I put a star in a jar.",""
8,"Speaker 1 (Dr. Anne White)","Does that make sense?",""
9,"Speaker 2 (child – Amelia)","No.",""
10,"Speaker 1 (Dr. Anne White)","That's a good answer.",""
11,"Speaker 1 (Dr. Anne White)","Because it sounds a little ridiculous, right?",""
12,"Speaker 1 (Dr. Anne White)","How can we put a star in a jar?",""
13,"Speaker 1 (Dr. Anne White)","Well, we're not actually gonna put the sun, which is a star, inside a jar, but instead we're gonna take the same kind of material that the sun is made out of, and we're going to hold it for a really long time in some kind of container.",""
14,"Speaker 1 (Dr. Anne White)","So fusion is about bringing things together.",""
15,"Speaker 1 (Dr. Anne White)","That's what fusing means.",""
16,"Speaker 1 (Dr. Anne White)","When those fusion reactions occur, a new particle is created, and energy is also released.",""
17,"Speaker 1 (Dr. Anne White)","Do you know what an atom is?",""
18,"Speaker 2 (child – Amelia)","No.",""
19,"Speaker 1 (Dr. Anne White)","All right, so an atom is what everything in our world is made of.",""
20,"Speaker 1 (Dr. Anne White)","And at the very center of the atom is what we call a nucleus.",""
21,"Speaker 1 (Dr. Anne White)","And inside that nucleus is a proton.",""
22,"Speaker 1 (Dr. Anne White)","We want to take those protons and push them together to make them combine and release energy, fusion energy, that we can use to make electricity.",""
23,"Speaker 1 (Dr. Anne White)","And there's a lot of different energies and forces that we have to think about.",""
24,"Speaker 1 (Dr. Anne White)","Have you heard of gravity?",""
25,"Speaker 2 (child – Amelia)","Yes.",""
26,"Speaker 1 (Dr. Anne White)","Yes, okay.",""
27,"Speaker 1 (Dr. Anne White)","So that is a big important fundamental force.",""
28,"Speaker 1 (Dr. Anne White)","So another fun force to talk about that's important for fusion, you're familiar with electricity?",""
29,"Speaker 2 (child – Amelia)","Yes.",""
30,"Speaker 1 (Dr. Anne White)","Right, and so there's also electric forces, electrostatic forces, and you've heard of static electricity.",""
31,"Speaker 1 (Dr. Anne White)","So now let's see about static electricity lifting my hair up.",""
32,"Speaker 2 (child – Amelia)","We can move this white strand, it's like hanging down.",""
33,"Speaker 2 (child – Amelia)","The balloon took on the force from like your hair and put in here, and I'll just like move it.",""
34,"Speaker 1 (Dr. Anne White)","There you go, yeah!",""
35,"Speaker 1 (Dr. Anne White)","And so if we want to take those protons and push them together to make them combine and release energy, fusion energy, that we can use to make electricity, then we have to actually overcome that strong electrostatic force that just want to make those balls bounce off of each other.",""
36,"Speaker 1 (Dr. Anne White)","There's another force which you might be familiar with, which is like a magnetic force.",""
37,"Speaker 2 (child – Amelia)","We just learned about that.",""
38,"Speaker 2 (child – Amelia)","Our teacher showed us putting one magnet on, and then flipping the other one around, and it made it the top one kind of bounce.",""
