Sequence,Speaker,Utterance,Notes
1,"Speaker 3 (teen - Marianna)","what is fusion energy",""
2,"Speaker 1 (Anne White)","the way our sun generates energy is by Fusion reactions it fuses hydrogen the lightest element",""
3,"Speaker 1 (Anne White)","we know about into helium and that gets fused into heavier and heavier elements so here on Earth we're going",""
4,"Speaker 1 (Anne White)","to take some special kinds of hydrogen a special flavor of it if you will which we call an isotope",""
5,"Speaker 1 (Anne White)","and we're going to combine them to create new particles and we can only get that combination of particles to happen if they are in a plasma.",""
6,"Speaker 1 (Anne White)"," what's your favorite exhibit the science museum",""
7,"Speaker 3 (teen – Marianna)","I love the lightning show like it's so cool",""
8,"Speaker 1 (Anne White)","okay  you probably have learned in school about three states of matter",""
9,"Speaker 3 (teen – Marianna)","solid liquid and gas",""
10,"Speaker 1 (Anne White)","absolutely. we take the gas and we add heat and we get a plasma ",""
11,"Speaker 1 (Anne White)","and a plasma is a state of matter where you have an ionized gas if we break down that gas if we add enough energy to ionize it we can take the electrons and the ions and the atom and separate them.",""
12,"Speaker 1 (Anne White)"," and now there's this soup of charged particles that are moving around, thats the plasma",""
13,"Speaker 1 (Anne White)", "and it is what creates the beautiful light in lightning", ""
14,"Speaker 1 (Anne White)", "So you've already seen a plasma in fact", ""
15,"Speaker 1 (Dr. Anne White)","So I'm gonna show you this fun demonstration.",""
16,"Speaker 1 (Dr. Anne White)","You've probably seen one of these before, right?",""
17,"Speaker 3 (teen – Marianna)","That's so cool.",""
18,"Speaker 1 (Dr. Anne White)","Yeah.",""
19,"Speaker 1 (Dr. Anne White)","So the way this is happening is this glass ball here is a container for our plasma.",""
20,"Speaker 1 (Dr. Anne White)","And we've taken most of the air out of the container, so there's not a lot of particles inside the glass ball, and very, very low temperature plasma.",""
21,"Speaker 1 (Dr. Anne White)","So it's continuously ionizing and then recombining, and becoming neutral again.",""
22,"Speaker 1 (Dr. Anne White)","And we see those energy transitions as the visible light.",""
23,"Speaker 1 (Dr. Anne White)","So if we're gonna put this plasma to use and do something helpful with it, like maybe make some clean electricity, we would have to control it.",""
24,"Speaker 1 (Dr. Anne White)","And another word for controlling it is confining it.",""
25,"Speaker 1 (Dr. Anne White)","So let me turn this off and set it back down.",""
26,"Speaker 1 (Dr. Anne White)","You're probably wondering what is this thing on this table?",""
27,"Speaker 1 (Dr. Anne White)","It's a model of a tokamak, and that's the name of a device that I work on with the goal of creating clean energy.",""
28,"Speaker 1 (Dr. Anne White)","Have you played with magnets in school?",""
29,"Speaker 3 (teen – Marianna)","Mhm.",""
30,"Speaker 1 (Dr. Anne White)","Okay.",""
31,"Speaker 3 (teen – Marianna)","We've learned about how it has to be a positive and negative charge.",""
32,"Speaker 3 (teen – Marianna)","And we've done those things where you can like put 'em with something in between 'em, and just move one and the other will always follow.",""
33,"Speaker 1 (Dr. Anne White)","This is all very important to sort of understand how we would create a container that would let us hold a plasma in place and control it.",""
34,"Speaker 1 (Dr. Anne White)","Have you ever played around with an electromagnet in class?",""
35,"Speaker 3 (teen – Marianna)","Mhm.",""
36,"Speaker 1 (Dr. Anne White)","It's a coil of wire, much like this big red coil of wire right here.",""
37,"Speaker 1 (Dr. Anne White)","And when we push an electrical current through this wire, it creates a magnetic field that goes around the wire perpendicular.",""
38,"Speaker 1 (Dr. Anne White)","So if you want to know the direction of the magnetic field that's being created by pushing the current through the wire, put your thumb in the direction of the current and then curl your fingers like this.",""
39,"Speaker 1 (Dr. Anne White)","Yeah, and that's the right hand rule.",""
40,"Speaker 1 (Dr. Anne White)","So if we push the current this way we're creating a magnetic field in this perpendicular direction.",""
41,"Speaker 1 (Dr. Anne White)","So if I drive a current in this red wire like this, which direction will the magnetic field go?",""
42,"Speaker 1 (Dr. Anne White)","Yeah, exactly, perpendicular.",""
43,"Speaker 1 (Dr. Anne White)","And if I drive the current in this green wire, which direction will it go?",""
44,"Speaker 1 (Dr. Anne White)","Exactly, yeah, the long way, perpendicular.",""
45,"Speaker 1 (Dr. Anne White)","Now this is a bit of a trickier one.",""
46,"Speaker 1 (Dr. Anne White)","The blue wire is gonna act like a transformer action.",""
47,"Speaker 1 (Dr. Anne White)","And so by changing the current in the blue coil, we are going to be able to run a current in this direction around the tokamak.",""
48,"Speaker 1 (Dr. Anne White)","And now think back to how the wires worked.",""
49,"Speaker 1 (Dr. Anne White)","If I have a current going like this, where's the magnetic field?",""
50,"Speaker 3 (teen – Marianna)","That way.",""
51,"Speaker 1 (Dr. Anne White)","Exactly, back this way, the short way around the tokamak.",""
52,"Speaker 1 (Dr. Anne White)","We can now put together the pieces and understand the three magnetic fields that we need to confine a plasma in our tokamak.",""
53,"Speaker 1 (Dr. Anne White)","So our plasma will be inside this vessel in the shape of a donut.",""
54,"Speaker 3 (teen – Marianna)","What could the tokamak be used for in like real life?",""
55,"Speaker 1 (Dr. Anne White)","I'm so glad you asked.",""
56,"Speaker 1 (Dr. Anne White)","So what we want to use the tokamak for in real life is to confine a super hot plasma, and we're talking a hundred million, 150 million degrees.",""
57,"Speaker 1 (Dr. Anne White)","Because the plasma is so very hot, the particles have enough energy to interact with one another and fuse.",""
58,"Speaker 1 (Dr. Anne White)","When those fusion reactions occur, we are releasing energy that's inside the nucleus, and we can harness that energy to make clean electricity.",""
