Sequence,Speaker,Utterance,Notes
1,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","I’m a research scientist at MIT, and I work on computational plasma physics, basically doing simulations that can accurately describe what’s going on inside these fusion reactors.",""
2,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","Like tokamaks and accelerators, they have plasmas that are magnetically confined.",""
3,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","So we’re trying to predict how the plasma behaves, so that we can build in the future better reactors.",""
4,"Speaker 1 (Dr. Anne White)","What’s one of the most exciting parts of your research right now?",""
5,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","Something that we were not able to do until very recently was actually using first principle simulations to predict the performance and efficiency of reactors.",""
6,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","The developments in plasma theory and computation and simulation, that has been thoroughly validated over the years, in many experiments, and now we’re using those simulations to inform how to best operate our future reactors.",""
7,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","It’s very exciting because so far we’ve been getting great results.",""
8,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","It’s very, very promising.",""
9,"Speaker 1 (Dr. Anne White)","Where we’re going with a lot of the experiments right now is trying to produce some maybe outside the box datasets that we haven’t seen before, and then of course ultimately compare them to the simulations and do a bit of this validation maybe where we’re not just looking under the lamppost, where we’re going a little bit outside the comfort zone.",""
10,"Speaker 1 (Dr. Anne White)","That means going from measurements really sort of more in the middle of the plasma, at about mid-radius, pushing all the way out to the edge, where the turbulence starts to become very different in its nature, it becomes a lot more electromagnetic, it becomes sometimes larger in scale, just physical scale size.",""
11,"Speaker 1 (Dr. Anne White)","And some of the things we’re starting to find was that turbulence features and turbulence characteristics in the edge of some of these high performance plasmas don’t always behave the way we think they do.",""
12,"Speaker 1 (Dr. Anne White)","So as we think about pushing our measurements and our study of the turbulence from the core to the edge, how does that influence what you’re working on now?",""
13,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","So the edge of the plasma gives you the boundary condition really for the simulations that then we do in the core.",""
14,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","You need to start somewhere determining what is the temperature very close to the wall, really, of the machine.",""
15,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","And when you get that temperature, then you can actually integrate inwards with the rest of core model.",""
16,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","It’s gonna be very exciting in the next years, when we can actually make some measurements in those devices and compare them to simulations, so that we can have more trust in the predictions for the next step for the reactors, the power plants.",""
17,"Speaker 1 (Dr. Anne White)","Maybe both of us in our own way answer the question that we always get asked, when is fusion gonna happen?",""
18,"Speaker 1 (Dr. Anne White)","When are we gonna have fusion electricity on the grids?",""
19,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","It’s hard to say when it’s gonna arrive.",""
20,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","I think that with the arrival of private companies and then venture capital, that is accelerating things a lot.",""
21,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","So I don’t think fusion is 30 years away and it will always be, I don’t think that’s true anymore.",""
22,"Speaker 1 (Dr. Anne White)","So you’re saying lots of private companies have entered.",""
23,"Speaker 1 (Dr. Anne White)","And that’s injected a lot of private funding, not just government funding.",""
24,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","Oh Yeah.",""
25,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","The nature of private ventures is, you know, you want to get commercial as soon as possible.",""
26,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","So I think they’re accelerating things.",""
27,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","They’re actually taking advantages of discoveries in other fields.",""
