Sequence,Speaker,Utterance,Notes
1,"Speaker 5 (grad student - Madelyn)","So I am in soft condensed matter physics,",""
2,"Speaker 5 (grad student - Madelyn)","and my research kind of dips into material science,",""
3,"Speaker 5 (grad student - Madelyn)","but I feel like people are always asking me about fusion.",""
4,"Speaker 1 (Dr. Anne White)","What are they asking you about fusion?",""
5,"Speaker 5 (grad student - Madelyn)","So usually people ask me like,",""
6,"Speaker 5 (grad student - Madelyn)","do you think that we'll ever really replace all of our other energy sources with fusion?",""
7,"Speaker 1 (Dr. Anne White)","I think that it actually has a lot of mystery around it,",""
8,"Speaker 1 (Dr. Anne White)","because the fuel for fusion is a plasma,",""
9,"Speaker 1 (Dr. Anne White)","and we don't experience plasmas on earth in our everyday life.",""
10,"Speaker 1 (Dr. Anne White)","They exist in space,",""
11,"Speaker 1 (Dr. Anne White)","at the event horizon of a black hole,",""
12,"Speaker 1 (Dr. Anne White)","in the solar wind,",""
13,"Speaker 1 (Dr. Anne White)","in our sun,",""
14,"Speaker 1 (Dr. Anne White)","or very rapid events,",""
15,"Speaker 1 (Dr. Anne White)","like lightning is also sort of a very weakly ionized plasma.",""
16,"Speaker 1 (Dr. Anne White)","Even among plasmas there are so many different kinds of plasmas.",""
17,"Speaker 1 (Dr. Anne White)","There are low temperature, higher density plasmas.",""
18,"Speaker 1 (Dr. Anne White)","There are of course the astrophysical plasmas,",""
19,"Speaker 1 (Dr. Anne White)","and space plasmas,",""
20,"Speaker 1 (Dr. Anne White)","and then there are fusion plasmas.",""
21,"Speaker 1 (Dr. Anne White)","They are predominantly fully ionized plasmas.",""
22,"Speaker 1 (Dr. Anne White)","They are also plasmas where we have a certain ability to basically kick up micro-instabilities.",""
23,"Speaker 5 (grad student - Madelyn)","right",""
24,"Speaker 1 (Dr. Anne White)","So they're plasmas which are held in a stable enough state by strong external magnetic fields confining the plasma into a donut shape.",""
25,"Speaker 1 (Dr. Anne White)","And this has a lot of advantages for us,",""
26,"Speaker 1 (Dr. Anne White)","because charged particles want to follow the magnetic field lines.",""
27,"Speaker 1 (Dr. Anne White)","But things start to get really interesting when we're no longer thinking about individual particle motions in the plasma.",""
28,"Speaker 1 (Dr. Anne White)","And instead we start to think about collective effects.",""
29,"Speaker 5 (grad student - Madelyn)","It's never occupied any space in my mind to think about what happens when you have something so high temperature and like precisely confined,",""
30,"Speaker 5 (grad student - Madelyn)","and now you have to deal with presumably turbulence.",""
31,"Speaker 1 (Dr. Anne White)","Plus magnetic fields.",""
32,"Speaker 1 (Dr. Anne White)","When we start thinking about turbulence in the plasma,",""
33,"Speaker 1 (Dr. Anne White)","we can no longer even think about the plasma as a single fluid.",""
34,"Speaker 1 (Dr. Anne White)","Instead we have to consider electron fluid and ion fluid separately.",""
35,"Speaker 1 (Dr. Anne White)","We have to use a full blown kinetic equation to explain how this state of matter is behaving.",""
36,"Speaker 1 (Dr. Anne White)","Because we have collisions.",""
37,"Speaker 1 (Dr. Anne White)","So we have to add collisions back in to understand and track how all the particles are moving,",""
38,"Speaker 1 (Dr. Anne White)","and how these collective motions,",""
39,"Speaker 1 (Dr. Anne White)","this turbulence can get kicked up.",""
40,"Speaker 1 (Dr. Anne White)","So that's pretty intractable, right.",""
41,"Speaker 1 (Dr. Anne White)","I mean if people talk about simulating that system and following those particles,",""
42,"Speaker 1 (Dr. Anne White)","it's probably gonna take millions and millions of years on even the fastest supercomputer.",""
43,"Speaker 5 (grad student - Madelyn)","mhm",""
44,"Speaker 1 (Dr. Anne White)","So one really big advance in plasma theory over the last I'd say three or four decades has been the development of a gyrokinetic theory that we use to model the micro-turbulence in the plasma and get that under control.",""
45,"Speaker 1 (Dr. Anne White)","And the reason it's so important to get the turbulence under control and understand it is because turbulence is the primary heat loss mechanism.",""
46,"Speaker 1 (Dr. Anne White)","The primary way that heat is transported from hot to cold across confining field lines in a magnetic confinement system.",""
47,"Speaker 1 (Dr. Anne White)","Being able to study it,",""
48,"Speaker 1 (Dr. Anne White)","measure it",""
49,"Speaker 1 (Dr. Anne White)","and predict how it's going to behave is really one of the big hurdles to overcome.",""
50,"Speaker 5 (grad student - Madelyn)","Could you say the name of the model again?",""
51,"Speaker 5 (grad student - Madelyn)","Absolutely,",""
52,"Speaker 5 (grad student - Madelyn)","so it's a gyrokinetic model.",""
53,"Speaker 5 (grad student - Madelyn)","Gyrokinetic.",""
54,"Speaker 1 (Dr. Anne White)","And we talked about how challenging it would be to follow every particle in space and know its position,",""
55,"Speaker 1 (Dr. Anne White)","and know its velocity at all times.",""
56,"Speaker 1 (Dr. Anne White)","So what gyrokinetics actually does as a theory is it takes advantage of the fact that when we drop a charged particle into a strong external magnetic field,",""
57,"Speaker 1 (Dr. Anne White)","the Lorentz force bends that particle's trajectory into a helix.",""
58,"Speaker 1 (Dr. Anne White)","And so now if we know that wherever the field line is going that particle is following it in this helical,",""
59,"Speaker 1 (Dr. Anne White)","in this corkscrew trajectory,",""
60,"Speaker 1 (Dr. Anne White)","we can say aha,",""
61,"Speaker 1 (Dr. Anne White)","I no longer have to worry about following that particle's velocity around in a circle,",""
62,"Speaker 1 (Dr. Anne White)","'cause at every point in time I know it's going in a circle.",""
63,"Speaker 5 (grad student - Madelyn)","okay",""
64,"Speaker 1 (Dr. Anne White)","So we average that out,",""
65,"Speaker 1 (Dr. Anne White)","we do a gyro average,",""
66,"Speaker 1 (Dr. Anne White)","because the motion is typically called a gyro frequency.",""
67,"Speaker 1 (Dr. Anne White)","That's how fast it goes around the field line.",""
68,"Speaker 1 (Dr. Anne White)","And it has a particular radius of that helix called the gyro radius,",""
69,"Speaker 1 (Dr. Anne White)","because it's just gyrating.",""
70,"Speaker 1 (Dr. Anne White)","So what we know from studying the plasma and making direct measurements of the turbulence and also what comes from the simulations is the scale size of the turbulence is about five to 10 gyro radii.",""
71,"Speaker 5 (grad student - Madelyn)","You said that density and temperature fluctuations are what drive these turbulent flows that end up reducing your heat transport.",""
72,"Speaker 5 (grad student - Madelyn)","Is there anything that can be done to minimize those density and heat fluctuations,",""
73,"Speaker 5 (grad student - Madelyn)","or is that just like down to the statistics of things?",""
74,"Speaker 1 (Dr. Anne White)","I love the way you framed it,",""
75,"Speaker 1 (Dr. Anne White)","because originally like in the '60s and '70s,",""
76,"Speaker 1 (Dr. Anne White)","people did not think that micro-turbulence would even be a problem.",""
77,"Speaker 1 (Dr. Anne White)","But as we started to make more and more measurements and build higher and higher basically performing devices,",""
78,"Speaker 1 (Dr. Anne White)","we started to see nothing is matching the expected performance.",""
79,"Speaker 1 (Dr. Anne White)","And that's because people thought that Coulomb collisions between the particles,",""
80,"Speaker 1 (Dr. Anne White)","just interactions of charged particles,",""
81,"Speaker 1 (Dr. Anne White)","would dominate cross-field transport,",""
82,"Speaker 1 (Dr. Anne White)","right.",""
83,"Speaker 1 (Dr. Anne White)","What happens with turbulence is it enhances the transport of particles,",""
84,"Speaker 1 (Dr. Anne White)","because now we're not just talking about this random walk of collisions,",""
85,"Speaker 1 (Dr. Anne White)","we're talking about conduction,",""
86,"Speaker 1 (Dr. Anne White)","convection,",""
87,"Speaker 1 (Dr. Anne White)","eddy structures,",""
88,"Speaker 1 (Dr. Anne White)","microstructures,",""
89,"Speaker 1 (Dr. Anne White)","flow generation,",""
90,"Speaker 1 (Dr. Anne White)","very complex soup of activity.",""
91,"Speaker 5 (grad student - Madelyn)","Turbulence for me like really hits on one of the most beautiful parts about physics.",""
92,"Speaker 5 (grad student - Madelyn)","Like it's so complex.",""
93,"Speaker 5 (grad student - Madelyn)","And that's what makes it like visually beautiful.",""
94,"Speaker 5 (grad student - Madelyn)","That's what makes it mathematically interesting,",""
95,"Speaker 5 (grad student - Madelyn)","and it's also what keeps us so puzzled about it.",""
96,"Speaker 1 (Dr. Anne White)","Yeah,",""
97,"Speaker 1 (Dr. Anne White)","turbulence is beautiful and so fun to study.",""
