Sequence,Speaker,Utterance,Notes
56,"Speaker 1 (Aric Prather)","Hey, I'm Aric.",""
57,"Speaker 3 (Dwayne)","I'm Dwayne.",""
58,"Speaker 3 (Dwayne)","Nice to meet you, Aric.",""
59,"Speaker 1 (Aric Prather)","And how old are you, Dwayne?",""
60,"Speaker 3 (Dwayne)","I'm 16 years old.",""
61,"Speaker 1 (Aric Prather)","Okay, and where do you go to school?",""
62,"Speaker 3 (Dwayne)","McClymonds High School in Oakland, California.",""
63,"Speaker 1 (Aric Prather)","Excellent, and what's your favorite subject?",""
64,"Speaker 3 (Dwayne)","AP Chemistry.",""
65,"Speaker 1 (Aric Prather)","That's a serious science.",""
66,"Speaker 3 (Dwayne)","It is.",""
67,"Speaker 1 (Aric Prather)","And good news, we're talking about science today.",""
68,"Speaker 1 (Aric Prather)","In fact, we're talking about sleep.",""
69,"Speaker 3 (Dwayne)","Oh okay.",""
70,"Speaker 1 (Aric Prather)","And sleep science.",""
71,"Speaker 1 (Aric Prather)","Do you sleep?",""
72,"Speaker 3 (Dwayne)","I do, I try.",""
73,"Speaker 3 (Dwayne)","[laughs]",""
74,"Speaker 1 (Aric Prather)","You try, we all gotta try.",""
75,"Speaker 1 (Aric Prather)","You've probably heard about sleep as this kind of, you know, it's a biological process that happens in your brain.",""
76,"Speaker 1 (Aric Prather)","It's really important for your body, but it's a lot more complex than that.",""
77,"Speaker 1 (Aric Prather)","Sleep is made up of different parts.",""
78,"Speaker 1 (Aric Prather)","You know, when you think about sleep, what do you think about?",""
79,"Speaker 3 (Dwayne)","Resting, relaxing, really shutting down your brain, taking some time off of a busy schedule and work day.",""
80,"Speaker 1 (Aric Prather)","But being off is not just being off.",""
81,"Speaker 1 (Aric Prather)","There's lots of things that are happening.",""
82,"Speaker 1 (Aric Prather)","We're gonna kind of talk about those different pieces of sleep.",""
83,"Speaker 3 (Dwayne)","Okay.",""
84,"Speaker 1 (Aric Prather)","So our sleep is made up of different types, okay?",""
85,"Speaker 1 (Aric Prather)","The first one is called non-rapid eye movement sleep, or non-REM, okay?",""
86,"Speaker 1 (Aric Prather)","Or NREM.",""
87,"Speaker 1 (Aric Prather)","And then the other one, which might not be a surprise, is called REM.",""
88,"Speaker 1 (Aric Prather)","Rapid eye movement sleep.",""
89,"Speaker 1 (Aric Prather)","And those are the two main types of sleep that happen.",""
90,"Speaker 1 (Aric Prather)","The way that we measure that as a sleep scientist is that we'll actually bring people into the lab where they can do this at home, where we put electrodes on their scalp while they're sleeping, and that allows us to measure the brain activity that's going on during the night.",""
91,"Speaker 3 (Dwayne)","Okay.",""
92,"Speaker 3 (Dwayne)","Are you like able to tell how much sleep someone's getting or what their sleep schedule is by REM?",""
93,"Speaker 1 (Aric Prather)","When we measure all of that, we're able to see how much time someone's asleep, and how many times they wake up and stuff during the night.",""
94,"Speaker 1 (Aric Prather)","You know, we're also really interested in kind of, the amount of non-REM sleep someone gets and the amount of REM sleep that someone gets, because each part of those types of sleep do different things for the body.",""
95,"Speaker 1 (Aric Prather)","And so it's important to get both of those.",""
96,"Speaker 1 (Aric Prather)","And so within non-REM sleep, there are three stages ranging from N-1 to N-2 to N-3.",""
97,"Speaker 1 (Aric Prather)","So not particularly clever in our naming, but that's how we know what stages they are.",""
98,"Speaker 1 (Aric Prather)","And what they do is it moves from lightest to deepest sleep, okay?",""
99,"Speaker 1 (Aric Prather)","N-1, it's more kind of light, wakefulness sleep, kind of in and out of sleeping.",""
100,"Speaker 1 (Aric Prather)","Then you go into N-2, which is where we spend 45 to 55 percent of our sleep.",""
101,"Speaker 1 (Aric Prather)","And it's more this kind of light sleep, but then we get into kind of the really restorative sleep, and that's N-3.",""
102,"Speaker 1 (Aric Prather)","And in N-3, when we look at someone's EEG wave, we see these big slow waves, and it's called slow wave sleep.",""
103,"Speaker 1 (Aric Prather)","And so we spend about 20% of our sleep in slow wave sleep, though it can vary on a day to day.",""
104,"Speaker 3 (Dwayne)","Oh wow.",""
105,"Speaker 1 (Aric Prather)","Okay?",""
106,"Speaker 1 (Aric Prather)","When do you think you experience the most REM?",""
107,"Speaker 3 (Dwayne)","Well I've heard that you don't really go into like a deeper sleep, so I'm guessing like N-3, or really any of the N's at all, really, if you are on technology right before you sleep.",""
108,"Speaker 3 (Dwayne)","And also if there's too much light, or if you're listening to music while you're asleep or anything like that, you're not experiencing deep sleep, right?",""
109,"Speaker 1 (Aric Prather)","You know, some of that is totally accurate, that like when your brain's more engaged by being on your phone or doing things that you really enjoy or things that stress you out or any of those types of things, it's harder to get to sleep and to kind of fall into that deeper levels of sleep.",""
110,"Speaker 1 (Aric Prather)","Most of the REM sleep, this dreaming sleep, happens in the second half of the night.",""
111,"Speaker 3 (Dwayne)","Oh.",""
112,"Speaker 1 (Aric Prather)","Okay?",""
113,"Speaker 1 (Aric Prather)","So we wake up a lot during the night, and we just don't remember it.",""
114,"Speaker 1 (Aric Prather)","And you'll go back down into deep sleep, and then up again into REM, you know, in kinda these cycles.",""
115,"Speaker 3 (Dwayne)","Oh wow.",""
116,"Speaker 1 (Aric Prather)","Do you ever take naps?",""
117,"Speaker 3 (Dwayne)","I do.",""
118,"Speaker 1 (Aric Prather)","Okay.",""
119,"Speaker 1 (Aric Prather)","How long are the naps that you take?",""
120,"Speaker 3 (Dwayne)","Anywhere from between one to six hours.",""
121,"Speaker 1 (Aric Prather)","One to six hours?",""
122,"Speaker 1 (Aric Prather)","That's a long nap.",""
123,"Speaker 3 (Dwayne)","It is a long nap.",""
124,"Speaker 1 (Aric Prather)","Okay.",""
125,"Speaker 1 (Aric Prather)","Usually we want to keep naps, like 20 to 30 minutes.",""
126,"Speaker 1 (Aric Prather)","When people drop into deep sleep, and then they're woken up out of a nap, most people report that they feel way worse than they did before they took the nap, and that's because you've been in deep sleep, and it's this term called sleep inertia.",""
127,"Speaker 1 (Aric Prather)","So what are the stages of sleep?",""
128,"Speaker 3 (Dwayne)","So N-1 being like light sleep, still a lot of brain activity going on.",""
