Sequence,Speaker,Utterance,Notes
6,"Speaker 1 (Bettina Warburg)","Do you know what we're going to talk about today?","Child segment"
7,"Speaker 1 (Bettina Warburg)","It's called blockchain.","Child segment"
8,"Speaker 2 (Child)","What's blockchain?","Child segment"
9,"Speaker 1 (Bettina Warburg)","That's a really good question.","Child segment"
10,"Speaker 1 (Bettina Warburg)","It's actually a way that we can trade.","Child segment"
11,"Speaker 1 (Bettina Warburg)","Do you know what trade is?","Child segment"
12,"Speaker 2 (Child)","It's like, it's when you take turns every time.","Child segment"
13,"Speaker 2 (Child)","That's when you give up most of what you want, right?","Child segment"
14,"Speaker 2 (Child)","When you give up most of what you want.","Child segment"
15,"Speaker 1 (Bettina Warburg)","Well sometimes that definitely happens for sure.","Child segment"
16,"Speaker 1 (Bettina Warburg)","What if I told you that there's a kind of technology that I work on that means you could trade with any kid all over the world?","Child segment"
17,"Speaker 2 (Child)","Really?","Child segment"
18,"Speaker 2 (Child)","Yeah, if I could trade with any kid I would trade.","Child segment"
19,"Speaker 2 (Child)","Well, I would trade something I don't like so much.","Child segment"
20,"Speaker 1 (Bettina Warburg)","That's probably a good idea.","Child segment"
21,"Speaker 1 (Bettina Warburg)","Maybe somebody else likes it more than you do.","Child segment"
22,"Speaker 1 (Bettina Warburg)","So normally when people trade, they have to go to the store or they have to know the person so that they can get what they asked for.","Child segment"
23,"Speaker 1 (Bettina Warburg)","With blockchain you can make that exact same trade, but you don't need the store and you don't even necessarily need to know the other person.","Child segment"
24,"Speaker 2 (Child)","Really, really.","Child segment"
