Sequence,Speaker,Utterance,Notes
205,"Speaker 1 (Chelsea Finn)","So great to see you, Michael.",""
206,"Speaker 1 (Chelsea Finn)","Thanks for coming.",""
207,"Speaker 6 (Expert)","It's my pleasure.",""
208,"Speaker 1 (Chelsea Finn)","So over the past four levels, we've been talking about Moravec's paradox.",""
209,"Speaker 1 (Chelsea Finn)","I'm curious to get your perspective.",""
210,"Speaker 1 (Chelsea Finn)","There are still a lot of open questions for how to leverage previous experience and learn cumulatively over time.",""
211,"Speaker 6 (Expert)","It's funny because I'm kind of at the heart, a developmental psychologist.",""
212,"Speaker 6 (Expert)","And so when we talk about babies, a lot of what we're talking about is how they become human.",""
213,"Speaker 6 (Expert)","I started to try to build computer models of little tiny bits of babies cognition.",""
214,"Speaker 6 (Expert)","And I would ask people, and they'd say, ""You have to assume that you can recognize objects, because actually recognizing objects is impossible.""",""
215,"Speaker 6 (Expert)","And I was like, ""Wait, it's impossible? What about AI?""",""
216,"Speaker 6 (Expert)","And they're like, ""That's, that's really hard.""",""
217,"Speaker 1 (Chelsea Finn)","Why do you think it's so hard to build these things into AI systems and robots?",""
218,"Speaker 6 (Expert)","I guess if you think about a quintessentially human task, like playing chess or solving arithmetic problem, things that other creatures just don't do, when you're a human being, you have to learn that in cultural time.",""
219,"Speaker 6 (Expert)","And so there's a limited amount of data you have.",""
220,"Speaker 6 (Expert)","But if you're talking about seeing the world interacting with the world, using your effectors properly, that's the combination of this massive amount of evolutionary time.",""
221,"Speaker 6 (Expert)","When you look at that, it's like the 56 games of chess I played in chess club that doesn't look like a lot of training data.",""
222,"Speaker 6 (Expert)","You work so hard to make a robot, do one particular thing or one class of task, and then seems like people must always come up to you and say, ""So, okay, but what about my other task?""",""
223,"Speaker 6 (Expert)","""Okay. You can fold the sock or stack a cup. How about my dishes?""",""
224,"Speaker 6 (Expert)","Is that frustrating?",""
225,"Speaker 6 (Expert)","Is that a challenge?",""
226,"Speaker 6 (Expert)","Is it interesting?",""
227,"Speaker 1 (Chelsea Finn)","I think it's interesting.",""
228,"Speaker 1 (Chelsea Finn)","And also a huge challenge.",""
229,"Speaker 1 (Chelsea Finn)","I think that it's interesting that if a person sees a robot doing something that seems very capable, they assume that the robot can do all sorts of other capable things.",""
230,"Speaker 1 (Chelsea Finn)","It's a huge challenge, because that's actually not the case.",""
231,"Speaker 6 (Expert)","When we think about babies on their social cognition, we actually start from the idea that they have a notion of what an agent is.",""
232,"Speaker 6 (Expert)","An agent is something that's self-propelled, that has its own internal states, like goals and beliefs.",""
233,"Speaker 6 (Expert)","And so, it's very natural to imagine that when you see a seemingly, they call it propulsive, action by a robot, you're thinking, ""Hey, this thing has a desire.""",""
234,"Speaker 6 (Expert)","""It has a goal. It's accomplishing it with its. So what if I give it a different goal? Why couldn't it do that?""",""
235,"Speaker 6 (Expert)","They call it promiscuous generalization about agents, right?",""
236,"Speaker 6 (Expert)","I think that the electrical outlet looks like a face.",""
237,"Speaker 6 (Expert)","I think that my computer's mad at me.",""
238,"Speaker 6 (Expert)","And so I think it, the challenge actually is to stop people from doing that, and to recognize limitations where there are some.",""
239,"Speaker 6 (Expert)","Or we bring to bear our knowledge, sometimes incredibly quickly, to parse an uncertain image.",""
240,"Speaker 6 (Expert)","So our experiences go all the way down to our very first impressions of the sensory signal.",""
241,"Speaker 1 (Chelsea Finn)","I like that description, because it conveys how much complexity there is to these really basic tasks that we're doing.",""
242,"Speaker 1 (Chelsea Finn)","Is there a definition for the simple tasks that we do versus things that are more complex, like playing chess?",""
243,"Speaker 6 (Expert)","I guess I like to think about this hierarchical cascade, where, at first, vision starts with the sensory signal and parses it into gradually more complex units.",""
244,"Speaker 6 (Expert)","I think it does make sense to talk about lower level, meaning closer to sensation and perception and action, and higher level meaning more deliberative, more mediated by memory and language and judgment.",""
245,"Speaker 1 (Chelsea Finn)","That notion of hierarchy is really interesting, because it is these higher level things, like playing chess, for example, that are easier for AI systems.",""
246,"Speaker 1 (Chelsea Finn)","And the reason why they're easier is that we're providing the abstraction for the system already.",""
247,"Speaker 1 (Chelsea Finn)","Then when we give the game of chess to an AI system, we abstract away all the challenges of like picking up pieces and moving them, and we say, ""Okay, there's this board of however many boxes on it.""",""
248,"Speaker 1 (Chelsea Finn)","And you just need to figure out within that very narrow, small world, what to do.",""
249,"Speaker 1 (Chelsea Finn)","But handling and learning what those abstractions should be and handling everything from low level sensory inputs to that higher level processing is really, really hard.",""
250,"Speaker 6 (Expert)","Our impression that it's purely discrete and symbolic might be, just that might be an impression, because we talk about it in a language.",""
251,"Speaker 6 (Expert)","And actually, the fact that it's connected up to all these perception and sensation and action systems means that it's probably grounded in a more continuous set of representations.",""
252,"Speaker 6 (Expert)","I wonder, is there gonna be a point where what you really want to know is what are the experiences that a human has?",""
253,"Speaker 6 (Expert)","[indistinct] human speech own project.",""
254,"Speaker 6 (Expert)","His idea was, ""Well, I need the exact data that my son gets in order to train my robot to be like my son.""",""
255,"Speaker 6 (Expert)","Or do you think that we're gonna end up in a world that's more like the large language models and that'll have to do?",""
256,"Speaker 1 (Chelsea Finn)","I suspect that we'll start by doing whatever is most convenient, 'cause that's whatever we can get.",""
257,"Speaker 1 (Chelsea Finn)","But I think that for robots to be capable alongside humans, in a world with humans, I think that we may need to actually use human experience, human learning, to inform how robots learn, if we want them to follow the same kind of mistake pattern as humans, so that humans can interpret robots, and humans can understand what robots will and will not do.",""
