Sequence,Speaker,Utterance,Notes
167,"Speaker 1 (Chelsea Finn)","What year are you in your PhD?",""
168,"Speaker 5 (Grad Student)","I'm just finishing up my first year.",""
169,"Speaker 5 (Grad Student)","Studying food manipulation and also bimanual manipulations, and just enabling robots to have these capabilities, so that, eventually, we can use it in like a home robot use case, for example.",""
170,"Speaker 1 (Chelsea Finn)","What are some of the challenges that you've run into when trying to work with robots and do these tasks?",""
171,"Speaker 5 (Grad Student)","So, I was really interested in the problem of scooping peas on a plate.",""
172,"Speaker 5 (Grad Student)","They're relatively homogenous, but when it came to more complex foods, like broccoli, or deformable foods, like tofu, that can crumble, that gets a lot more complex to simulate.",""
173,"Speaker 1 (Chelsea Finn)","One thing I find really fascinating about robotics is that the things that are so simple for us, like feeding yourself broccoli, so second nature to us, are really hard for robotics.",""
174,"Speaker 1 (Chelsea Finn)","When you try to take a robot and train it to do a task and simulation, and the simulation isn't perfectly accurate, it's really hard to actually model the physics of how tofu crumbles.",""
175,"Speaker 5 (Grad Student)","Right.",""
176,"Speaker 1 (Chelsea Finn)","What algorithms do you think are most promising for handling non-rigid deformable objects and the other things you've been looking at?",""
177,"Speaker 5 (Grad Student)","For most of my past work, which have been relatively more complex tasks, I lean towards the imitation learning type of algorithm approach, behavioral clonning and all that.",""
178,"Speaker 5 (Grad Student)","Mostly because, if it's hard to simulate an interaction with an object, then I think RL is harder to go with, because it's not as sample efficient as imitation learning can be.",""
179,"Speaker 5 (Grad Student)","And a lot of the times I'll be learning some high level policy of what to do, and then hard coding a lot of the, like action primitives that I want to select between my task.",""
180,"Speaker 1 (Chelsea Finn)","How can we get robots to learn more efficiently or learn faster?",""
181,"Speaker 5 (Grad Student)","From my experience, it's a matter of how much support you give the, like, robot when it's learning.",""
182,"Speaker 5 (Grad Student)","One could be like a narrower task range.",""
183,"Speaker 5 (Grad Student)","Another is maybe like also biasing the types of samples that you're collecting can bias towards interactions that are gonna be useful where the hands actually interact with each other, rather than just off doing their own things.",""
184,"Speaker 5 (Grad Student)","What have you found to be like your go-tos between the different styles?",""
185,"Speaker 1 (Chelsea Finn)","I think I have a somewhat similar perspective to you in that, if we provide more structure and support, and sort of forms of prior knowledge or experience in the algorithm, that should make it more efficient.",""
186,"Speaker 1 (Chelsea Finn)","And so if we can acquire those kinds of priors about the world and about interaction from previous data, maybe offline data, then I think we should be able to make learning of new tasks more efficient.",""
187,"Speaker 5 (Grad Student)","It's similar to like skill transfer style of things, because some skills are just repeatable.",""
188,"Speaker 5 (Grad Student)","Like if I know how to pick up a cylinder, then maybe I know also how to pick up a mug.",""
189,"Speaker 1 (Chelsea Finn)","Yeah.",""
190,"Speaker 1 (Chelsea Finn)","So you may not transfer the exact strategy or the exact policy that the robot takes, but you should be able to learn some general heuristics about performing manipulation.",""
191,"Speaker 5 (Grad Student)","There's this gap between the simulators that we have now and what we actually experience in reality.",""
192,"Speaker 5 (Grad Student)","So what do you think are promising directions to try out for actually making our simulations match reality more closely?",""
193,"Speaker 1 (Chelsea Finn)","It's a really, really hard problem.",""
194,"Speaker 1 (Chelsea Finn)","A lot of simulators, they don't simulate the world as a fine enough time granularity to really accurately capture things like skewing an object, for example.",""
195,"Speaker 1 (Chelsea Finn)","One thing that I think is promising is to try to not build simulators entirely from first principles, from our knowledge of physics.",""
196,"Speaker 1 (Chelsea Finn)","But instead to look at real data and see how real data might inform our simulations and try to build, allow robots to build models of the world, build simulators of the world, based on data and based on experiences.",""
197,"Speaker 1 (Chelsea Finn)","There's a little bit of a chicken and egg problem, because if we wanna use simulators to get lots of data, and we also need data to get good simulators, then there's no way to get around this.",""
198,"Speaker 5 (Grad Student)","So when you say building simulators that don't rely on first principles, are you saying like, kind of like a learn simulator?",""
199,"Speaker 5 (Grad Student)","We have all these videos of humans interacting with the world, and that can be your, like, physics data that you then use to inform when you're building a simulator, that's learning based on those videos.",""
200,"Speaker 1 (Chelsea Finn)","Exactly.",""
201,"Speaker 1 (Chelsea Finn)","I think we can use machine learning to learn about physics and to build these kinds of physics simulators.",""
202,"Speaker 5 (Grad Student)","That's really cool.",""
203,"Speaker 5 (Grad Student)","That's a cool idea.",""
