Sequence,Speaker,Utterance,Notes
1,Speaker 5 (grad student),"I'm in my first year of a PhD in Computer Science and I'm studying natural language processing and machine learning.",""
2,Speaker 1 (Hilary Mason),"So would you mind telling me a bit about what you've been working on or interested in lately?",""
3,Speaker 5 (grad student),"I've been looking at understanding persuasion in online text and the ways that we might be able to automatically detect the intent behind that persuasion or who it's targeted at and what makes effective persuasive techniques.",""
4,Speaker 1 (Hilary Mason),"So what are some of the techniques you're applying to look at that debate data?",""
5,Speaker 5 (grad student),"Something I'm interested in exploring is how well it works to use deep learning and sort of automatically extracted features from this text versus using some of the more traditional techniques that we have, things like lexicons or some sort of template matching techniques for extracting features from texts.",""
6,Speaker 5 (grad student),"That's a question I'm just interested in, in general.",""
7,Speaker 5 (grad student),"When do we really need deep learning versus when can we use something that's a little bit more interpretable, something that's been around for a while?",""
8,Speaker 1 (Hilary Mason),"Do you think there are going to be general principles that guide those decisions?",""
9,Speaker 1 (Hilary Mason),"Because right now, it's generally up to the machine learning engineer to decide what tools they want to apply.",""
10,Speaker 5 (grad student),"I definitely think there is, but I also, sort of, see it varying a lot based on the use case, something that, kind of, works out of the box and maybe works a little bit more automatically might be better.",""
11,Speaker 5 (grad student),"And in other cases, you do, sort of, kind of, you want a lot of fine grain control.",""
12,Speaker 1 (Hilary Mason),"So is that where some of that frustration around the lack of controllability and interpretability comes from?",""
13,Speaker 5 (grad student),"Yeah, if you're building a model that just predicts the next thing based off of everything it's seen from texts online, then yeah, you're really gonna be replicating whatever that distribution online is.",""
14,Speaker 1 (Hilary Mason),"If you train a model off of language off the internet, it sometimes says uncomfortable things or inappropriate things and sometimes really biased things.",""
15,Speaker 1 (Hilary Mason),"Have you ever run into this yourself?",""
16,Speaker 1 (Hilary Mason),"And then how do you think about that problem of potentially even measuring the bias in a model that we've trained?",""
17,Speaker 5 (grad student),"Yeah, it's a really tricky question.",""
18,Speaker 5 (grad student),"As you said, these models are trained to, sort of, predict the next sequence of words, given a certain sequence of words.",""
19,Speaker 5 (grad student),"So we could start with just, sort of, prompts like the woman was versus the man was, and, kind of, pull out common words that are, sort of, more used with one phrase versus the other.",""
20,Speaker 5 (grad student),"So that's, sort of, a qualitative way of looking at it.",""
21,Speaker 5 (grad student),"It's not ever kind of a guarantee of how the model is gonna behave in one particular instance.",""
22,Speaker 5 (grad student),"And I think that's what's really tricky and that's why I, sort of, think it's really good for creators of systems to just be honest about, This is, sort of, what we have seen.",""
23,Speaker 5 (grad student),"And so then, someone can make their own judgment about, Is this gonna be too high risk for, sort of, my particular use case?",""
24,Speaker 1 (Hilary Mason),"I imagine in the last few years, we've seen a lot of changes and improvements in the capabilities of NLP systems.",""
25,Speaker 1 (Hilary Mason),"So is there anything in that that you're particularly excited about exploring further?",""
26,Speaker 5 (grad student),"I'm really interested in, sort of, the creative potential that we've started to see from NLP systems with things like GPT-3 and other really powerful language models.",""
27,Speaker 5 (grad student),"It's really easy to write long grammatical passages thinking about the way that we can then harness, like, the human ability to actually give meaning to those words and, sort of, provide structure and how we can combine those things with the, kind of like, generative capabilities of these models now is really interesting.",""
28,Speaker 1 (Hilary Mason),"Yeah, I agree.",""
