Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Hilary Mason),"Hi.",
2,Speaker 2 (child),"Hi.",
3,Speaker 1 (Hilary Mason),"I'm Hilary, what's your name?",
4,Speaker 2 (child),"I'm Brynn.",
5,Speaker 1 (Hilary Mason),"Do you know what machine learning means?",
6,Speaker 1 (Hilary Mason),"Have you heard that before?",
7,Speaker 2 (child),"No.",
8,Speaker 1 (Hilary Mason),"So machine learning is a way that we teach computers to learn things about the world by looking at patterns and looking at examples of things.",
9,Speaker 1 (Hilary Mason),"So can I show you an example of how a machine might learn something?",
10,Speaker 2 (child),"Sure.",
11,Speaker 1 (Hilary Mason),"So is this a dog or a cat?",
12,Speaker 2 (child),"It's a dog.",
13,Speaker 1 (Hilary Mason),"And this one?",
14,Speaker 2 (child),"A cat.",
15,Speaker 1 (Hilary Mason),"And what makes a dog, a dog and a cat, a cat?",
16,Speaker 2 (child),"Well, dogs are very playful, I think, more than cats.",
17,Speaker 2 (child),"Cats lick themselves more than dogs, I think.",
18,Speaker 1 (Hilary Mason),"That's true.",
19,Speaker 1 (Hilary Mason),"Do you think, if we look at these pictures, do you think maybe we could say, Well, they both have pointy ears, but the dogs have a different kind of body and the cats like to stand up a little different.?",
20,Speaker 1 (Hilary Mason),"Do you think that makes sense?",
21,Speaker 2 (child),"Yeah.",
22,Speaker 1 (Hilary Mason),"Yeah.",
23,Speaker 1 (Hilary Mason),"What about this one?",
24,Speaker 2 (child),"A dog.",
25,Speaker 2 (child),"A cat.",
26,Speaker 2 (child),"I think, a cat?",
27,Speaker 2 (child),"Because it's more skinny.",
28,Speaker 2 (child),"And also, its legs are like really tall and its ears are a little pointy.",
29,Speaker 1 (Hilary Mason),"This one's a jackal.",
30,Speaker 1 (Hilary Mason),"And it's actually a kind of dog.",
31,Speaker 1 (Hilary Mason),"But you made a good guess.",
32,Speaker 1 (Hilary Mason),"That's what machines do too.",
33,Speaker 1 (Hilary Mason),"They make guesses.",
34,Speaker 1 (Hilary Mason),"Is this a cat or a dog?",
35,Speaker 2 (child),"None.",
36,Speaker 1 (Hilary Mason),"None.",
37,Speaker 1 (Hilary Mason),"What is it?",
38,Speaker 2 (child),"It's humans.",
39,Speaker 1 (Hilary Mason),"And how did you know that it's not a cat or a dog?",
40,Speaker 2 (child),"Because cats and dogs...",
41,Speaker 2 (child),"Because they walk on their paws and their ears are like right here, not right here, and they don't wear watches.",
42,Speaker 1 (Hilary Mason),"And so, you did something pretty amazing there.",
43,Speaker 1 (Hilary Mason),"Because we asked the question, Is it a cat or a dog?",
44,Speaker 1 (Hilary Mason),"And you said, I disagree with your question. It's a human.",
45,Speaker 1 (Hilary Mason),"So machine learning is when we teach machines to make guesses about what things are based on looking at a lot of different examples.",
46,Speaker 1 (Hilary Mason),"And I build products that use machine learning to learn about the world and make guesses about things in the world.",
47,Speaker 1 (Hilary Mason),"When we try to teach machines to recognize things like cats and dogs, it takes a lot of examples.",
48,Speaker 1 (Hilary Mason),"We have to show them tens of thousands or even millions of examples before they can get even close to as good at it as you are.",
49,Speaker 1 (Hilary Mason),"Do you have tests in school?",
50,Speaker 2 (child),"Yeah, I have.",
51,Speaker 2 (child),"After every unit, we have a review and then we have a test.",
52,Speaker 1 (Hilary Mason),"Are those like the practice problems you do before the test?",
53,Speaker 2 (child),"Well, just like everything that's gonna be on the test is on the review.",
54,Speaker 1 (Hilary Mason),"Which means that in the test, you're not seeing any problems that you don't know how to solve.",
55,Speaker 1 (Hilary Mason),"As long as you did all your practice, right?",
56,Speaker 2 (child),"Yeah.",
57,Speaker 1 (Hilary Mason),"So machines work the same way.",
58,Speaker 1 (Hilary Mason),"If you show them a lot of examples and give them practice, they'll learn how to guess.",
59,Speaker 1 (Hilary Mason),"And then when you give them the test, they should be able to do that.",
60,Speaker 1 (Hilary Mason),"So we looked at eight pictures and you were able to answer really quickly.",
61,Speaker 1 (Hilary Mason),"But what would you do if I gave you 10 million examples?",
62,Speaker 1 (Hilary Mason),"Would you be able to do that so quickly?",
63,Speaker 2 (child),"No.",
64,Speaker 1 (Hilary Mason),"So one of the differences between people and machines is that people might be a little better at this, but can't look at 10 million different things.",
65,Speaker 1 (Hilary Mason),"So now that we've been talking about machine learning, is this something you want to learn how to do?",
66,Speaker 2 (child),"Kind of.",
67,Speaker 2 (child),"Because I kind of want to become a spy.",
68,Speaker 2 (child),"And we used to do coding, so I may be kind of good at it.",
69,Speaker 1 (Hilary Mason),"And machine learning is a great way to use all those math skills, all those coding skills, and would be a super cool tool for a spy."
