Sequence,Speaker,Utterance,Notes
1,Speaker 4 (college student),"I'm Sunny.",""
2,Speaker 1 (Hilary Mason),"And what are you majoring in?",""
3,Speaker 4 (college student),"I study Math and Computer Science.",""
4,Speaker 1 (Hilary Mason),"So in your studies, have you learned about machine learning?",""
5,Speaker 4 (college student),"Yeah, I have.",""
6,Speaker 4 (college student),"So to me, machine learning is essentially exactly what it sounds like.",""
7,Speaker 4 (college student),"It's trying to teach a machine specifics about something by inputting a lot of data points and slowly, the machine will build up knowledge about it over time.",""
8,Speaker 4 (college student),"For example, my Gmail program, I assume that there would be a lot of, like, machine learning models happening at once, right?",""
9,Speaker 1 (Hilary Mason),"Absolutely.",""
10,Speaker 1 (Hilary Mason),"And that's a great example because you have models that are operating to do things like figure out if a new email is spam or not.",""
11,Speaker 1 (Hilary Mason),"So what would you think about if you were looking at an email and trying to decide if it went in one category or another?",""
12,Speaker 4 (college student),"I'd probably look at certain keywords.",""
13,Speaker 4 (college student),"Maybe if the recipient and the sender had exchanged emails before and generally, those fell into in the past.",""
14,Speaker 1 (Hilary Mason),"So these are things we would call features.",""
15,Speaker 1 (Hilary Mason),"And we go through a process where we do feature engineering, where somebody looks at the example and says, Okay, these are the things that I think might allow us to statistically tell the difference from something in one category versus another.",""
16,Speaker 1 (Hilary Mason),"So for example, perhaps you don't speak Russian, you start getting a lot of email in Russian.",""
17,Speaker 4 (college student),"Obviously, like, the features that you just described are features which a person would have had to think about.",""
18,Speaker 4 (college student),"Are there features which, like, the machine itself could learn?",""
19,Speaker 1 (Hilary Mason),"This is a great question because it really gets to the difference between some of our different tools in our machine learning tool belt in addressing problems like this.",""
20,Speaker 1 (Hilary Mason),"So if we were to use a supervised learning classic classification approach, a person would need to think about those features and creatively come up with them in approach we call the kitchen sink approach, which is just try everything you can possibly think of and see what works.",""
21,Speaker 1 (Hilary Mason),"Unsupervised learning, where we don't have labeled data and we're trying to infer some structure out of the data is you're projecting that data into a space and looking for things like clusters.",""
22,Speaker 1 (Hilary Mason),"And there's a bunch of really fun math about how you do that, how you think about distance and by distance, I mean that if we have two data points in space, how do we decide if they're similar or not?",""
23,Speaker 4 (college student),"And how do the algorithms themselves usually differ between unsupervised and supervised learning.",""
24,Speaker 1 (Hilary Mason),"Supervised learning, we have our labels and we're trying to figure out what statistically indicates if something matches one label or another label.",""
25,Speaker 1 (Hilary Mason),"Unsupervised learning, we don't necessarily have those labels.",""
26,Speaker 1 (Hilary Mason),"That's the thing we're trying to discover.",""
27,Speaker 1 (Hilary Mason),"So reinforcement learning is another technique that we use sometimes.",""
28,Speaker 1 (Hilary Mason),"You can think about it like a turn in a game and you can play, you know, millions and millions of trials so that you're able to develop a system that by experimenting with reinforcement learning can eventually learn to play these games pretty successfully.",""
29,Speaker 1 (Hilary Mason),"Deep learning, which is essentially using neural networks and very large amounts of data to eventually iterate on a network structure that can make predictions.",""
30,Speaker 4 (college student),"With reinforcement learning versus deep learning, it seems to me that reinforcement learning, is it sort of like the kitchen sink approach that you were talking about earlier, where you're just kind of trying everything?",""
31,Speaker 1 (Hilary Mason),"It is, but it also thrives in environments where you have a decision point, a pallet of actions to choose from.",""
32,Speaker 1 (Hilary Mason),"And it actually comes historically from trying to train a robot to navigate a room.",""
33,Speaker 1 (Hilary Mason),"If it bonks into this chair, it can't go forward anymore.",""
34,Speaker 1 (Hilary Mason),"And if it falls into that pit, you know, it's not going to succeed.",""
35,Speaker 1 (Hilary Mason),"But if it keeps exploring, it'll eventually get to the goal.",""
36,Speaker 4 (college student),"Oh, like roombas?",""
37,Speaker 1 (Hilary Mason),"Yes.",""
38,Speaker 4 (college student),"Oh, I didn't realize it was that deep, almost.",""
39,Speaker 4 (college student),"Is there a situation which you'd want to use a deep learning algorithm over a reinforcement learning algorithm?",""
40,Speaker 1 (Hilary Mason),"So typically, you would choose deep learning if you have sufficient high quality data, hopefully labeled in a useful way.",""
41,Speaker 1 (Hilary Mason),"If you really are happy not to necessarily understand or be able to interpret what your system is doing or you're willing to invest in another set of work afterwards to understand what the system is doing once you've already trained it.",""
42,Speaker 1 (Hilary Mason),"And this also comes down to the fact that some things are actually really easy to solve with linear regression or simple statistical approaches.",""
43,Speaker 1 (Hilary Mason),"And some things are impossible.",""
44,Speaker 4 (college student),"What would be the outcome if you were to choose the, quote-unquote, wrong approach?",""
45,Speaker 4 (college student),"You build a system that could actually be useless.",""
46,Speaker 4 (college student),"So years ago, I had a client that was a big telecom company and they had a data scientist who built a deep learning system to predict customer churn.",""
47,Speaker 4 (college student),"It actually was very accurate, but it wasn't useful because nobody knew why the prediction was what it was.",""
48,Speaker 4 (college student),"So they could say, you know, Sunny, you're likely to quit next month.",""
49,Speaker 4 (college student),"But they had no idea what to do about it.",""
50,Speaker 4 (college student),"And so, I think there are a bunch of failure modes.",""
51,Speaker 4 (college student),"Would that be an example of, like, linear regression where the regression is accurate, but, you know, for marketing purposes, it's like, if you don't know why I'm quitting the service, then how can we fix this?",""
52,Speaker 1 (Hilary Mason),"Yeah.",""
53,Speaker 1 (Hilary Mason),"This is actually a good example of a very real world kind of machine learning problem where the solution to this was to build an interpretable system on top of the accurate predictions not to throw it away, but to do a bunch more work to figure out the why.",""
54,Speaker 4 (college student),"How can we improve machine learning algorithms?",""
55,Speaker 1 (Hilary Mason),"It's actually fairly new that we're able to solve all of these problems and start to build these products and apply it in businesses and apply it, you know, everywhere.",""
56,Speaker 1 (Hilary Mason),"And so, we're still developing good practices and what it means to be a professional in machine learning.",""
57,Speaker 1 (Hilary Mason),"We're really developing a notion of what good looks like.",""
