Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Hilary Mason),"So, hi Claudia.",""
2,Speaker 1 (Hilary Mason),"It's so great to see you.",""
3,Speaker 6 (expert),"It has been far too long.",""
4,Speaker 1 (Hilary Mason),"You know, we first met 10, 11 years ago and machine learning has changed a lot since then.",""
5,Speaker 6 (expert),"Tooling that we now have, the capacity, and also, an elevation of the problem sets that we're dealing with and how to frame the problem.",""
6,Speaker 6 (expert),"And I'm almost struggling to figure out whether it's a blessing or curse that it has become as accessible and as democratized and as easy to execute and you just build another new company from scratch.",""
7,Speaker 6 (expert),"And so, what's been, kind of, your reflection on that?",""
8,Speaker 1 (Hilary Mason),"Well, you're absolutely right that the attention machine learning gets has grown dramatically.",""
9,Speaker 1 (Hilary Mason),"20 years ago, going to gatherings and telling people what I was working on and seeing the blank face or the like, Where's the turn? and walk away.",""
10,Speaker 1 (Hilary Mason),"Like, Oh, no.",""
11,Speaker 1 (Hilary Mason),"The accessibility of the tooling, like, we can now do in, like, five lines of code something that would have taken 500 lines of very mathematical, messy, gnarly code even, you know, five years ago.",""
12,Speaker 1 (Hilary Mason),"And that's not an exaggeration.",""
13,Speaker 1 (Hilary Mason),"And there are tools that mean that pretty much anyone can pick this up and start playing with it and start to build with it.",""
14,Speaker 1 (Hilary Mason),"And that is also really exciting.",""
15,Speaker 6 (expert),"In contrast, what I'm struggling with, the friend of mine who asked me to look at some health care data for him.",""
16,Speaker 6 (expert),"And despite the capabilities that we're having in all of the, kind of, bigger societal problems alongside with data collection engineering, all the gnarly stuff, that is actually not the machine learning itself, it's the rest of it where certain data isn't available.",""
17,Speaker 6 (expert),"And to me, it's staggering how difficult it is to get it off the ground and actually use.",""
18,Speaker 1 (Hilary Mason),"And part of the challenge of it is not the mathematics of building models, but the challenge is making sure that the data is sufficiently representative, potentially high quality.",""
19,Speaker 6 (expert),"And how transparent do I need to build it for it to be adopted at some point?",""
20,Speaker 6 (expert),"What types of biases in the data collection, and then also in the usage?",""
21,Speaker 6 (expert),"We now call it the bias, but we're still struggling with the society not really living up to its expectations and then machine learning, bringing it to the forefront.",""
22,Speaker 1 (Hilary Mason),"Right.",""
23,Speaker 1 (Hilary Mason),"And so, to say that another way, when you're collecting data from the real world and then building machine learning systems that automate decisions based on that data, all of the biases and problems that are already in the real world then can be magnified through that machine learning system.",""
24,Speaker 1 (Hilary Mason),"And so, it can make many of these problems much worse.",""
25,Speaker 6 (expert),"Feeling increasingly challenged that my skillset of being very good at programming has become somewhat secondary.",""
26,Speaker 6 (expert),"And it's feeling...",""
27,Speaker 6 (expert),"It's really the bigger picture understanding of Who would be using that?",""
28,Speaker 6 (expert),"How transparent do I need to build it for it to be adopted at some point?",""
29,Speaker 6 (expert),"What types of biases in the data collection and then also in the usage?",""
30,Speaker 6 (expert),"I think, in certain areas, we have societal expectations as to what is fair and what isn't.",""
31,Speaker 1 (Hilary Mason),"And so, it's not just the provenance of that data, but it's, sort of, deeply understanding, Why does it look the way it looks?",""
32,Speaker 1 (Hilary Mason),"Why was it collected this way?",""
33,Speaker 1 (Hilary Mason),"What are the limitations of it?",""
34,Speaker 1 (Hilary Mason),"We need to think about that in entire process, how we document that process.",""
35,Speaker 1 (Hilary Mason),"This is an issue in companies where somebody might create something that even their peers can't recreate.",""
36,Speaker 6 (expert),"What have you seen in terms of which industries, where they stand, like who is adopting now?",""
37,Speaker 6 (expert),"Who is ready to utilize it?",""
38,Speaker 6 (expert),"Where would you maybe wish that didn't even try?",""
39,Speaker 1 (Hilary Mason),"These are great questions.",""
40,Speaker 1 (Hilary Mason),"So things like actuarial science, operations research, where they actually are not using machine learning as much as you might think.",""
41,Speaker 1 (Hilary Mason),"And then you have other sorts of companies or on the FinTech side, or even the ad tech side of things where they perhaps are using machine learning to the point of even absurdity.",""
42,Speaker 6 (expert),"So I spent about eight years working in ad tech.",""
43,Speaker 6 (expert),"And the motivation was really because it was such an amazingly exciting playground to push that technology that used to largely live in academia, really, out in the world and see, kind of, what it can achieve.",""
44,Speaker 6 (expert),"It has created such a hunger for data that now everything is being collected.",""
45,Speaker 6 (expert),"I'm curious, when are we going to make a foray into things like agriculture about smart production of the things we eat?",""
