Sequence,Speaker,Utterance
1,Speaker 1 (Brian Greene),"Hello."
2,Speaker 2 (child),"Hello."
3,Speaker 1 (Brian Greene),"What's your name?"
4,Speaker 2 (child),"Kayla."
5,Speaker 1 (Brian Greene),"How old are you, Kayla?"
6,Speaker 2 (child),"I am nine years old."
7,Speaker 1 (Brian Greene),"So, if you are nine years old, what does that mean about the Earth?"
8,Speaker 1 (Brian Greene),"How many times has it gone around the sun?"
9,Speaker 2 (child),"Nine times."
10,Speaker 1 (Brian Greene),"Nine times."
11,Speaker 1 (Brian Greene),"So, there's a relationship between motion through space, the Earth is going through space, and the passage of time."
12,Speaker 1 (Brian Greene),"They're kind of connected."
13,Speaker 2 (child),"Yeah."
14,Speaker 1 (Brian Greene),"In some way."
15,Speaker 1 (Brian Greene),"But there are differences, right?"
16,Speaker 1 (Brian Greene),"If I asked you to move through space, you could do it freely, right?"
17,Speaker 1 (Brian Greene),"Can you get up?"
18,Speaker 1 (Brian Greene),"And let's see how easy it is to move through space."
19,Speaker 1 (Brian Greene),"Can you move over to that location?"
20,Speaker 1 (Brian Greene),"And can you come back?"
21,Speaker 1 (Brian Greene),"Anything getting in your way?"
22,Speaker 1 (Brian Greene),"Easy to do?"
23,Speaker 2 (child),"Yep."
24,Speaker 1 (Brian Greene),"If I were to ask you to sit perfectly still in space, can you do that?"
25,Speaker 1 (Brian Greene),"I mean, hold perfectly still."
26,Speaker 1 (Brian Greene),"That's good."
27,Speaker 1 (Brian Greene),"But if I ask you to hold still in time, to not go to the next second or the next second."
28,Speaker 1 (Brian Greene),"Can you do that?"
29,Speaker 2 (child),"No."
30,Speaker 1 (Brian Greene),"So there's definitely this difference between space and time."
31,Speaker 1 (Brian Greene),"Some fundamental quality that distinguishes how freely we can move through space versus how freely we can move through time."
32,Speaker 1 (Brian Greene),"Have you heard of Albert Einstein?"
33,Speaker 2 (child),"Yes."
34,Speaker 1 (Brian Greene),"What do you know about him?"
35,Speaker 2 (child),"He has crazy hair."
36,Speaker 1 (Brian Greene),"He does have crazy hair."
37,Speaker 1 (Brian Greene),"And I think I may be heading in that direction actually."
38,Speaker 1 (Brian Greene),"He showed us an approach to travel to the future."
39,Speaker 1 (Brian Greene),"You want me to tell you how you do it?"
40,Speaker 1 (Brian Greene),"You build a spaceship, you go out into space really quickly, you turn around and you come back to planet Earth."
41,Speaker 1 (Brian Greene),"And he showed us that when you're on that ship, your clock will tick off time more slowly."
42,Speaker 1 (Brian Greene),"You will age more slowly."
43,Speaker 1 (Brian Greene),"So that journey may only take you say a year, six months out and six months back."
44,Speaker 1 (Brian Greene),"But you know what?"
45,Speaker 1 (Brian Greene),"When you step out of the ship, it'll be a hundred years into the future or a thousand years, a million years into the future."
46,Speaker 1 (Brian Greene),"Would you do that if you could?"
47,Speaker 2 (child),"I would probably be dead by then."
48,Speaker 1 (Brian Greene),"No, you'd be alive."
49,Speaker 1 (Brian Greene),"That's the amazing thing."
50,Speaker 1 (Brian Greene),"I'd be dead."
51,Speaker 1 (Brian Greene),"Everybody else would be dead who stayed on Earth."
52,Speaker 1 (Brian Greene),"But your body would only age one year, and yet it would be a thousand years into the future."
53,Speaker 1 (Brian Greene),"The question though is, could you get back?"
54,Speaker 1 (Brian Greene),"And I don't know the answer to that."
55,Speaker 1 (Brian Greene),"Nobody does."
56,Speaker 1 (Brian Greene),"We don't know if you can travel back, but we certainly know that you can travel forward."
57,Speaker 2 (child),"Has anyone ever tried to go forward and back?"
58,Speaker 1 (Brian Greene),"I don't think so."
59,Speaker 1 (Brian Greene),"That same guy with the crazy hair, Albert Einstein showed that there's actually a limit to how fast things can go."
60,Speaker 1 (Brian Greene),"And you know what the limit is?"
61,Speaker 1 (Brian Greene),"The limit is the speed of light."
62,Speaker 1 (Brian Greene),"Because light travels 671 million miles per hour."
63,Speaker 1 (Brian Greene),"That is fast enough to go around the entire Earth seven times in one second."
64,Speaker 1 (Brian Greene),"So if we could build a spaceship that would go as fast as light, we'd be able to do what Einstein noted."
65,Speaker 1 (Brian Greene),"There's something else that's really curious about time."
66,Speaker 1 (Brian Greene),"Things tend to go in one direction, and we call it the arrow of time."
67,Speaker 1 (Brian Greene),"It sort of points from the past into what we call the future."
68,Speaker 1 (Brian Greene),"If you were to ask me why is there an arrow to time?"
69,Speaker 1 (Brian Greene),"Ask me."
70,Speaker 2 (child),"Why is there an arrow to time?"
71,Speaker 1 (Brian Greene),"I'm not really sure."
72,Speaker 1 (Brian Greene),"I have some ideas, but I'd say we've still not completely nailed it down."
73,Speaker 1 (Brian Greene),"Kayla, what have you learned about time from talking about it here?"
74,Speaker 2 (child),"That you can't really travel back through time."
75,Speaker 1 (Brian Greene),"And can you travel to the future in principle?"
76,Speaker 2 (child),"Maybe."
77,Speaker 1 (Brian Greene),"Maybe."
78,Speaker 1 (Brian Greene),"That's absolutely right."
79,Speaker 1 (Brian Greene),"I think it's unlikely we'll learn how to travel to the past, but it's not been ruled out."
80,Speaker 1 (Brian Greene),"That's kind of exciting that it's still at least an open possibility."
