Sequence,Speaker,Utterance
1,"Speaker 1 (Brian Greene)","Have you started any projects yet, or that's"
2,"Speaker 5 (grad student)","I'm just starting one right now."
3,"Speaker 1 (Brian Greene)","What's it on?"
4,"Speaker 5 (grad student)","I'm trying to figure out how stars in the galaxy are moving based on what they're made of, which is interesting."
5,"Speaker 1 (Brian Greene)","Clearly time comes in to what you're doing."
6,"Speaker 1 (Brian Greene)","To what extent do you have to grapple with some of the subtle features of time?"
7,"Speaker 5 (grad student)","Yeah, with my research in particular, I really want to know what happened in the past and what happened in the future, but you only get a single snapshot when you look up at the night sky."
8,"Speaker 1 (Brian Greene)","Right, but if it’s sufficiently far back, you’re"
9,"Speaker 5 (grad student)","And so we can learn a lot by looking at other galaxies and seeing what they were doing in in their present, I suppose."
10,"Speaker 5 (grad student)","Yeah."
11,"Speaker 5 (grad student)","Just figuring out what's going to happen next is is part of part of the issue, right?"
12,"Speaker 5 (grad student)","That's looking into the future, I suppose."
13,"Speaker 1 (Brian Greene)","And so, have you taken General Relativity, or you taking that now, or?"
14,"Speaker 5 (grad student)","I took a course on General Relativity, yeah."
15,"Speaker 1 (Brian Greene)","But you learned about black holes?"
16,"Speaker 5 (grad student)","Sure."
17,"Speaker 1 (Brian Greene)","One of the weird things, and wonderful things about wormholes is that they are tunnels, if you will, shortcuts from one point in space to another point in space."
18,"Speaker 1 (Brian Greene)","But once you have a shortcut from here to there, the beautiful thing is, if you move the openings, time will elapse differently at the different openings."
19,"Speaker 1 (Brian Greene)","So there's a possibility of wormholes as time machines."
20,"Speaker 1 (Brian Greene)","Go one direction, you're going into the future, go the other direction, you'd be going into the past."
21,"Speaker 1 (Brian Greene)","But that of course raises philosophical and logical paradoxes and sorts."
22,"Speaker 1 (Brian Greene)","So what do you think?"
23,"Speaker 1 (Brian Greene)","What do you I throw it to you."
24,"Speaker 5 (grad student)","Yeah, I I've heard a few different theories that people posit."
25,"Speaker 5 (grad student)","Like, maybe it is back to the future and you really change your own universe."
26,"Speaker 5 (grad student)","I've also heard people say that you could have multiple universes spawn from this event or something along these lines."
27,"Speaker 1 (Brian Greene)","Yeah, that's if you're going to be able to change the past."
28,"Speaker 1 (Brian Greene)","That's the one that resonates most with me."
29,"Speaker 5 (grad student)","I think the same."
30,"Speaker 1 (Brian Greene)","Yeah."
31,"Speaker 1 (Brian Greene)","So you go into the past, and maybe you can prevent your parents from meeting, but you're preventing them from meeting in a parallel reality, which means that you will never be born in that reality."
32,"Speaker 1 (Brian Greene)","But the origin of your birth is still completely understood."
33,"Speaker 1 (Brian Greene)","It was in the universe from which you originated."
34,"Speaker 1 (Brian Greene)","Another one that's more subtle is the laws of physics may prevent you from interceding."
35,"Speaker 5 (grad student)","Right."
36,"Speaker 1 (Brian Greene)","And that raises uncomfortable issues for many people having to do with like free will."
37,"Speaker 5 (grad student)","I'm immediately uncomfortable."
38,"Speaker 1 (Brian Greene)","Yeah."
39,"Speaker 1 (Brian Greene)","So that one, there's actually some people like Joe Polchinski, who did some wonderful studies of billiard ball tables where you imagine a billiard ball goes into a wormhole, comes out, and hits the very ball that was going into the hole."
40,"Speaker 1 (Brian Greene)","And in that way, if it could knock it off course, we seem to be in some logical paradox."
41,"Speaker 5 (grad student)","Absolutely."
42,"Speaker 1 (Brian Greene)","But the finding was the ball can come out and just sort of graze the other one, but it can't affect it enough to prevent the sequence of events from happening."
43,"Speaker 1 (Brian Greene)","And the way I like to think about it frankly is if there's one universe, not parallel universes like in the other solution, moments in time just are."
44,"Speaker 1 (Brian Greene)","They don't change."
45,"Speaker 1 (Brian Greene)","The whole point of time is the variable along which change can happen."
46,"Speaker 1 (Brian Greene)","So if you have the atoms of time, the individual events, there's no conception of them changing."
47,"Speaker 1 (Brian Greene)","So whatever collection of influences were in play that allowed your parents to meet, they will always be in play because you were always part of that moment."
48,"Speaker 5 (grad student)","Do you think travel back to the past is impossible because of of a deep physical like mathematical reasoning or just because of all of these problems that that you've been talking about?"
49,"Speaker 1 (Brian Greene)","I suspect that when we fully understand the mathematics of the final physical laws, if we ever come upon them, I think there's going to be something built in"
50,"Speaker 5 (grad student)","Okay."
51,"Speaker 1 (Brian Greene)","that prevents this kind of free travel to the past."
52,"Speaker 1 (Brian Greene)","But sometimes I I wonder if that's just coming from a more emotional place where I sort of want the world to be safe from these kind of paradoxes."
53,"Speaker 1 (Brian Greene)","So, what’s pretty clear based on any of the hypothetical proposals for traveling to the past that have come out of physics, you can’t travel to a moment in the past before the first time travel machine is built."
54,"Speaker 5 (grad student)","You know the twin paradox?"
55,"Speaker 5 (grad student)","Where, you know, you fly off, looks like you’re moving fast, but to you it looks like the other guy’s moving fast."
56,"Speaker 5 (grad student)","So who actually ages more?"
57,"Speaker 5 (grad student)","Who ages less?"
58,"Speaker 5 (grad student)","A resolution I’ve heard is that because you have to be going away and then coming back, you had to accelerate at some point, and this breaks the ambiguity."
59,"Speaker 1 (Brian Greene)","Yeah."
60,"Speaker 5 (grad student)","What if, say, the universe isn’t flat?"
61,"Speaker 5 (grad student)","what if the universe is curved, and you go off in one direction and then you come back in the same direction, you pass by the earth, who’s older then?"
62,"Speaker 1 (Brian Greene)","Yeah."
63,"Speaker 5 (grad student)","Do we have an answer?"
64,"Speaker 1 (Brian Greene)","Yeah we do have an answer."
65,"Speaker 1 (Brian Greene)","So the simplest version of that is, imagine that the universe has a shape of a donut."
66,"Speaker 1 (Brian Greene)","Imagine I'm on the circular part of this donut universe."
67,"Speaker 5 (grad student)","All right."
68,"Speaker 1 (Brian Greene)","And imagine I turn on two laser beams, sending a beam of light going to my right and to my left."
69,"Speaker 1 (Brian Greene)","And these beams will go around the entirety of space, and they'll both come back, and at some point, they will hit me."
70,"Speaker 1 (Brian Greene)","Imagine they hit me at the same moment from my perspective."
71,"Speaker 1 (Brian Greene)","Now imagine someone's moving relative to my frame of reference, say, to my left, they do the same experiment."
72,"Speaker 1 (Brian Greene)","They fire the beam of light left and right."
73,"Speaker 1 (Brian Greene)","Notice that the beam that they fire to their left will have to travel farther to reach them because they're moving away from it."
74,"Speaker 1 (Brian Greene)","Whereas the beam that they fired to their right will not have to travel as far because in some sense, they're moving toward it."
75,"Speaker 1 (Brian Greene)","The two beams of light will not hit that moving observer at the same moment."
76,"Speaker 5 (grad student)","To you or to them?"
77,"Speaker 1 (Brian Greene)","To them."
78,"Speaker 5 (grad student)","Wow."
79,"Speaker 1 (Brian Greene)","Which means that there's a preferred frame of reference in this universe."
80,"Speaker 1 (Brian Greene)","Everybody is not on equal footing."
81,"Speaker 5 (grad student)","Fascinating."
82,"Speaker 1 (Brian Greene)","as they are when we teach to freshmen the special theory of relativity."
83,"Speaker 5 (grad student)","Me, for example"
84,"Speaker 1 (Brian Greene)","No, everybody else is moving relative to me, and it's real motion."
85,"Speaker 1 (Brian Greene)","So everybody else will be like the moving twin."
86,"Speaker 1 (Brian Greene)","They will be younger and I will be older."
87,"Speaker 1 (Brian Greene)","And when you think about past and future on a cosmological scale, there was a long period when there were no human beings in the universe."
88,"Speaker 1 (Brian Greene)","The fact of the matter is there will be these two long stretches with our presence being sort of a flicker in between, does that thought inform anything about how you live in your brief flicker within that brief flicker?"
89,"Speaker 5 (grad student)","I rage against thinking like that."
90,"Speaker 1 (Brian Greene)","Too defeatist?"
91,"Speaker 5 (grad student)","I think it’s too defeatist I think that's the perfect way to put it."
92,"Speaker 5 (grad student)","Because it might be a brief flicker on a single mote of dust like floating in a cosmic eternity."
93,"Speaker 1 (Brian Greene)","Yeah."
94,"Speaker 5 (grad student)","But it's everything."
95,"Speaker 1 (Brian Greene)","Yeah."
96,"Speaker 5 (grad student)","There's nothing else that I'll ever experience."
97,"Speaker 5 (grad student)","And so in a way, there's there's nothing else to me."
98,"Speaker 5 (grad student)","Yeah."
99,"Speaker 1 (Brian Greene)","It can be debilitating to imagine an eternal future of sort of nothing where none of what we do sort of persists."
100,"Speaker 1 (Brian Greene)","On the other hand, if you flip your perspective around and say, how remarkable is it that we have this brief moment that allows us to think and feel."
101,"Speaker 1 (Brian Greene)","and love and explore and illuminate."
102,"Speaker 1 (Brian Greene)","Wow."
103,"Speaker 1 (Brian Greene)","How wonderful is that?"
