video_uid,conversation_uid,conversation_id,level_label,trajectory_type,n_turns,maximum_lag,recurrence_threshold,mean_pairwise_distance,mean_adjacent_distance,temporal_locality_observed,temporal_locality_null_mean,temporal_locality_null_sd,temporal_locality_z,temporal_locality_p_perm,lag_growth_slope_observed,lag_growth_slope_null_mean,lag_growth_slope_null_sd,lag_growth_slope_z,lag_growth_slope_p_perm,lag_contrast_observed,lag_contrast_null_mean,lag_contrast_null_sd,lag_contrast_z,lag_contrast_p_perm,recurrence_determinism_observed,recurrence_determinism_null_mean,recurrence_determinism_null_sd,recurrence_determinism_z,recurrence_determinism_p_perm
astro,astro::wired_astro_12,wired_astro_12,child,joint,23,6,0.980034136304394,1.2037163709606875,1.0850902304147392,0.0985499104338613,-0.0005286108008965456,0.01916142022120814,5.170729522705018,0.001996007984031936,0.07442326035095159,-0.00031733773546931474,0.02128121033982194,3.512046396466671,0.003992015968063872,0.0988571505165402,-0.0016380544308285398,0.029244483693135967,3.436381575474905,0.001996007984031936,0.18181818181818182,0.09781601036644515,0.07722073425425162,1.0878188644924947,0.12974051896207583
astro,astro::wired_astro_12,wired_astro_12,child,expert,11,6,0.8979227700759019,1.1011338796370713,1.0060156088244896,0.08638211263096574,-0.0020606795930623654,0.03122437824323111,2.8324917003976187,0.003992015968063872,0.12018474718976212,-0.002302035093632459,0.03745874586487759,3.269911457399906,0.001996007984031936,0.13033685761469316,-0.005596614750840311,0.0624187918079663,2.1777651958361797,0.005988023952095809,0.0,0.17223333333333335,0.23044932777996419,-0.7473804978844799,1.0
astro,astro::wired_astro_12,wired_astro_12,child,partner,12,6,1.1322196755557372,1.2914622966766347,1.2763228854429072,0.011722689290029065,0.0007733441155142757,0.023013028569295227,0.47578897064959896,0.32335329341317365,0.011308421947976814,0.001797859632933267,0.02807872122614583,0.3387106641518872,0.3393213572854291,0.02404136288476222,-7.867740773776543e-05,0.042648801657426905,0.5655502465518794,0.2694610778443114,0.3333333333333333,0.07836666666666667,0.17338913790038646,1.4704881156577825,0.18562874251497005
astro,astro::wired_astro_13,wired_astro_13,teenager,joint,13,6,0.9666361561905971,1.1760681978159313,1.1656476875376034,0.008860464297631543,-0.009480692393223624,0.020348724213149778,0.9013418482030792,0.1936127744510978,0.02558634162355299,-0.007837181851671099,0.027446782483760868,1.217757436413518,0.12375249500998003,0.029008335370170446,-0.020639743222595895,0.03904923876189317,1.2714224442504682,0.1217564870259481,0.0,0.01257142857142857,0.058657286613967866,-0.21431998132070054,1.0
astro,astro::wired_astro_14,wired_astro_14,undergraduate,joint,17,6,0.8458299286751271,1.1429119609616762,0.9790151647774674,0.14340281822433787,0.006788607850551406,0.03185915190187937,4.288068018713568,0.001996007984031936,0.10264741407610514,0.003115760584832314,0.03050865245179095,3.2624073989682234,0.005988023952095809,0.1461666440322591,0.012140302707186955,0.04083672965225528,3.282004765473924,0.003992015968063872,0.0,0.12666832056832059,0.12582658532320465,-1.0066896454588974,1.0
astro,astro::wired_astro_15,wired_astro_15,graduate,joint,29,6,0.9762454821238645,1.1773173029519162,1.0598967329868756,0.09973570393523401,0.005820483353234229,0.015686962957747016,5.9868325586642435,0.001996007984031936,0.0731974135017646,0.004760224354656259,0.016343585703158005,4.18740357165836,0.001996007984031936,0.11231287840152948,0.01323634683500866,0.022512106223724942,4.401033407620766,0.001996007984031936,0.36363636363636365,0.15933223683044723,0.09468328309472472,2.157763441742117,0.029940119760479042
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,14,6,1.000175363599793,1.186933744375824,1.1106740180578056,0.06424935400090204,-0.0009050121034151852,0.01874545333969646,3.475742353285346,0.003992015968063872,0.056070368269325974,-0.00030845331057468303,0.022300689589156326,2.5281200993584867,0.017964071856287425,0.05547182875819001,-0.0015180130266319058,0.03235036860625689,1.7616442791875795,0.03592814371257485,0.2857142857142857,0.10008650793650793,0.15349218220048721,1.2093630771065327,0.10379241516966067
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,15,6,0.9791470196809792,1.1839447947606647,1.162752405221114,0.017899812249130065,-0.0007367940993973903,0.01780215430590897,1.0468736551924793,0.1536926147704591,0.01639745749506101,-0.000817086860151771,0.02081371176628525,0.8270770993906756,0.20159680638722555,0.02417226743635692,-0.002157416388931785,0.02941369987630417,0.8951503529312895,0.18962075848303392,0.2,0.09656154401154401,0.1383753014487409,0.7475210887021861,0.3413173652694611
astro,astro::wired_astro_16,wired_astro_16,expert,joint,14,6,0.8926714496321831,1.0544150024628047,0.923312696506522,0.12433653319619509,0.014671261137305427,0.023809861075264862,4.605876183495108,0.001996007984031936,0.10196768472627536,0.011262554171369706,0.027825153680768752,3.259824962533672,0.003992015968063872,0.15213601283209754,0.03144989727103798,0.035887465334112,3.3629044134901376,0.003992015968063872,0.0,0.1900214285714286,0.1913875340488606,-0.9928620979196939,1.0
dimension,dimension::wired_dimension_12,wired_dimension_12,child,joint,50,6,0.9946282332526324,1.2033250672038873,1.1364457354720638,0.05557877381149223,-0.012446633909584367,0.012005864452510083,5.666014970446749,0.001996007984031936,0.03161134094873231,-0.00976199757486292,0.016862604054198076,2.4535557136144117,0.015968063872255488,0.013567327187034128,-0.026051121073613452,0.02718873615374974,1.4571640269194195,0.05788423153692615,0.25892857142857145,0.18532835125720323,0.058710869927465326,1.253604660641173,0.1277445109780439
