Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Sean Carroll PhD),"Do you like science?",
2,Speaker 1 (Sean Carroll PhD),"Is that something you think about?",
3,Speaker 3 (teen),"Yeah, I do.",
4,Speaker 1 (Sean Carroll PhD),"What kind of science?",
5,Speaker 3 (teen),"I like biology and computer science.",
6,Speaker 1 (Sean Carroll PhD),"All right, you're in the wrong place.",
7,Speaker 1 (Sean Carroll PhD),"We're not gonna be talking about biology or computer science.",
8,Speaker 1 (Sean Carroll PhD),"So we wanna talk about the idea of dimensions.",
9,Speaker 1 (Sean Carroll PhD),"Do you know what dimension is?",
10,Speaker 1 (Sean Carroll PhD),"How we would define dimensions?",
11,Speaker 3 (teen),"I guess, I don't know how to exactly define it, but I know, like the first four.",
12,Speaker 1 (Sean Carroll PhD),"Right, you know the difference between like one dimension two dimensions, three dimensions, et cetera.",
13,Speaker 1 (Sean Carroll PhD),"So let's do a little experiment here.",
14,Speaker 1 (Sean Carroll PhD),"So there's one dimension.",
15,Speaker 1 (Sean Carroll PhD),"I'll give that to you.",
16,Speaker 1 (Sean Carroll PhD),"Now, here's your task.",
17,Speaker 1 (Sean Carroll PhD),"I'm going to give you another dimension, and I'm gonna ask hold those two things at right angles to each other.",
18,Speaker 1 (Sean Carroll PhD),"It's easy to do.",
19,Speaker 1 (Sean Carroll PhD),"Yeah, so there's no trick here.",
20,Speaker 3 (teen),"Yeah.",
21,Speaker 1 (Sean Carroll PhD),"I'm not trying to fool you here.",
22,Speaker 1 (Sean Carroll PhD),"Okay.",
23,Speaker 1 (Sean Carroll PhD),"Now this is going to be slightly trickier.",
24,Speaker 1 (Sean Carroll PhD),"I'm going to give you this.",
25,Speaker 1 (Sean Carroll PhD),"I want you to hold all three of them at right angles to all the others at the same time.",
26,Speaker 3 (teen),"Um ...",
27,Speaker 1 (Sean Carroll PhD),"There you go.",
28,Speaker 1 (Sean Carroll PhD),"So what that's doing is when you had just two that was describing a two dimensional plane, right?",
29,Speaker 1 (Sean Carroll PhD),"Like the two things pick out a plane, the three things pick out all three dimensional space.",
30,Speaker 1 (Sean Carroll PhD),"I'm gonna give you one more, and I'm gonna ask you to hold that fourth one so that it's at a right angle to all the other three at the same time.",
31,Speaker 3 (teen),"Um ...",
32,Speaker 1 (Sean Carroll PhD),"All right, now I am tricking you.",
33,Speaker 1 (Sean Carroll PhD),"It can't be done.",
34,Speaker 3 (teen),"Yeah.",
35,Speaker 1 (Sean Carroll PhD),"Right?",
36,Speaker 1 (Sean Carroll PhD),"You can't do it.",
37,Speaker 1 (Sean Carroll PhD),"So we just experimentally proved that space is three dimensional.",
38,Speaker 1 (Sean Carroll PhD),"That's sort of what it means to be three dimensional, that there are three different directions you can move in and there's not four or five or six directions you can move in.",
39,Speaker 3 (teen),"Okay.",
40,Speaker 1 (Sean Carroll PhD),"There you go.",
41,Speaker 1 (Sean Carroll PhD),"Three dimensional space, right?",
42,Speaker 1 (Sean Carroll PhD),"Mm-hmm.",
43,Speaker 1 (Sean Carroll PhD),"So, have you thought about using coordinates in three dimensions?",
44,Speaker 3 (teen),"Yeah, I was actually doing SAT prep.",
45,Speaker 1 (Sean Carroll PhD),"There you go.",
46,Speaker 3 (teen),"It showed like the X Y and Z axis as well.",
47,Speaker 1 (Sean Carroll PhD),"That's right.",
48,Speaker 1 (Sean Carroll PhD),"So that's exactly what these would be.",
49,Speaker 1 (Sean Carroll PhD),"Have you heard that there are other coordinate systems other than XYX?",
50,Speaker 3 (teen),"No.",
51,Speaker 1 (Sean Carroll PhD),"Well, we could also say how far we are away from the center, just the distance.",
52,Speaker 1 (Sean Carroll PhD),"And then the angle that our little line makes with let's say the X axis.",
53,Speaker 3 (teen),"Yeah.",
54,Speaker 1 (Sean Carroll PhD),"So that's a different way of giving you two numbers and locating yourself, and we call those polar coordinates.",
55,Speaker 1 (Sean Carroll PhD),"It's a different coordinate system.",
56,Speaker 1 (Sean Carroll PhD),"What we want to do as physicists is look for extra dimensions.",
57,Speaker 1 (Sean Carroll PhD),"Can you imagine, can you think of any way that there could be extra dimensions?",
58,Speaker 3 (teen),"Time?",
59,Speaker 1 (Sean Carroll PhD),"Time.",
60,Speaker 1 (Sean Carroll PhD),"Yes, Einstein said that we can think of time as a fourth dimension, and that's a very fascinating thing that we could talk about all by itself.",
61,Speaker 1 (Sean Carroll PhD),"But what about space?",
62,Speaker 1 (Sean Carroll PhD),"What about the solar system?",
63,Speaker 1 (Sean Carroll PhD),"Like, if you wanted to tell me where a certain star was in the sky, do you know how we do that?",
64,Speaker 3 (teen),"I have no idea.",
65,Speaker 1 (Sean Carroll PhD),"It's exactly the same thing as latitude and longitude but we put coordinates on the sky.",
66,Speaker 3 (teen),"Oh.",
67,Speaker 1 (Sean Carroll PhD),"So astronomers call them right ascension and declination, which are two terrible words, but basically you've seen on the globe where you draw latitude and longitude, what it looks like.",
68,Speaker 3 (teen),"Yeah.",
69,Speaker 1 (Sean Carroll PhD),"And sort of the peels of an orange kind of thing, right?",
70,Speaker 3 (teen),"Yeah.",
71,Speaker 1 (Sean Carroll PhD),"So you can define something as, well you know, how high above a certain location on earth it is, but the earth is rotating and revolving around the sun so we have to define separate celestial coordinates.",
72,Speaker 3 (teen),"So, there's like how many dimension would there be?",
73,Speaker 1 (Sean Carroll PhD),"We don't know.",
74,Speaker 1 (Sean Carroll PhD),"You know, the optimistic view is that there are six, but the thing is, some of them might be really, really, really, really, really small, like way too small for us to ever see.",
75,Speaker 3 (teen),"Yeah.",
76,Speaker 1 (Sean Carroll PhD),"And some of them might be medium sized that hopefully we can see.",
77,Speaker 3 (teen),"Oh, okay.",
78,Speaker 3 (teen),"So since it's all theoretical, like this could not be three dimensional.",
79,Speaker 1 (Sean Carroll PhD),"Absolutely right.",
80,Speaker 1 (Sean Carroll PhD),"And this is sort of the state of uncertainty that physicists are stuck living in.",
81,Speaker 3 (teen),"Oh.",
82,Speaker 1 (Sean Carroll PhD),"You know, honestly out there, if you go out onto campus and talk to the physicists, half of them will say probably extra dimensions exist, and half of them say no, that's just nonsense.",
83,Speaker 3 (teen),"Oh.",
84,Speaker 1 (Sean Carroll PhD),"We really don't know.",
85,Speaker 3 (teen),"Yeah.",
86,Speaker 1 (Sean Carroll PhD),"Okay, after all this.",
87,Speaker 3 (teen),"Yeah.",
88,Speaker 1 (Sean Carroll PhD),"Someone comes up to you on the street and says what's a dimension?",
89,Speaker 3 (teen),"Oh, man.",
90,Speaker 3 (teen),"I mean, I guess what I've learned today is just that there are not just three dimensions or at least we think, I mean everything's theoretical.",
91,Speaker 3 (teen),"It's all just really kind of confusing.",
92,Speaker 1 (Sean Carroll PhD),"That's right, and you know, if they're still bugging you you can just like give them some sticks and ask them to put them together.",
93,Speaker 3 (teen),"Oh yeah.",
94,Speaker 1 (Sean Carroll PhD),"And that would shut them up.",
95,Speaker 3 (teen),"Yeah.",
