Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Sean Carroll PhD),"We're gonna talk about some science.",
2,Speaker 1 (Sean Carroll PhD),"Do you like science?",
3,Speaker 2 (child),"Yes, a lot.",
4,Speaker 1 (Sean Carroll PhD),"Oh, very good.",
5,Speaker 1 (Sean Carroll PhD),"You've come to the right place.",
6,Speaker 1 (Sean Carroll PhD),"So we're gonna think about physics.",
7,Speaker 1 (Sean Carroll PhD),"Have you heard the word physics before?",
8,Speaker 1 (Sean Carroll PhD),"Do you know what that is?",
9,Speaker 2 (child),"Yeah, kind of.",
10,Speaker 1 (Sean Carroll PhD),"What's your idea what physics is?",
11,Speaker 2 (child),"Um, I'm not so sure.",
12,Speaker 1 (Sean Carroll PhD),"Okay.",
13,Speaker 1 (Sean Carroll PhD),"I just think of physics as the study of everything.",
14,Speaker 1 (Sean Carroll PhD),"What stuff is, what stuff does.",
15,Speaker 1 (Sean Carroll PhD),"So today we're gonna talk about space, and in particular the idea of dimensions.",
16,Speaker 1 (Sean Carroll PhD),"Have you heard about dimensions?",
17,Speaker 2 (child),"At the camp I made a 3D printing one.",
18,Speaker 1 (Sean Carroll PhD),"3D printing, good.",
19,Speaker 2 (child),"So I don't choose the size, all I had to do was the shape.",
20,Speaker 1 (Sean Carroll PhD),"But do you know what 3D means?",
21,Speaker 2 (child),"It's three dimensional.",
22,Speaker 1 (Sean Carroll PhD),"Three dimensional, as opposed to, what is ordinary printing?",
23,Speaker 2 (child),"So, ordinary printing would be 2D.",
24,Speaker 1 (Sean Carroll PhD),"What do you say when something is one dimensional?",
25,Speaker 1 (Sean Carroll PhD),"What's an example of something that's one dimensional?",
26,Speaker 2 (child),"Hmm, I think one dimensional might be a circle, I guess, or maybe a line.",
27,Speaker 1 (Sean Carroll PhD),"A line is the perfect example",
28,Speaker 2 (child),"Yeah, a line.",
29,Speaker 1 (Sean Carroll PhD),"Because it's one thing that's straight, right?",
30,Speaker 2 (child),"Yeah.",
31,Speaker 1 (Sean Carroll PhD),"So here's some toys.",
32,Speaker 1 (Sean Carroll PhD),"We're gonna build some dimensions, right?",
33,Speaker 1 (Sean Carroll PhD),"So what would you say about this?",
34,Speaker 2 (child),"That's one dimensional.",
35,Speaker 1 (Sean Carroll PhD),"Exactly.",
36,Speaker 1 (Sean Carroll PhD),"It's not really one dimensional, right?",
37,Speaker 2 (child),"So everything has to be one or two dimensional before it's three dimensional.",
38,Speaker 1 (Sean Carroll PhD),"And how would you find yourself, like if someone said where are you, could you use some words or ideas to say where you are on that line?",
39,Speaker 2 (child),"I think I would be maybe there, since I'm facing it.",
40,Speaker 1 (Sean Carroll PhD),"But here's what I want you to think about.",
41,Speaker 1 (Sean Carroll PhD),"If I say I'm at this point on the line, I could translate that into saying I'm at the three centimeter point, if I were here I'd be at the four centimeter point, the five centimeter point, right?",
42,Speaker 1 (Sean Carroll PhD),"Yeah.",
43,Speaker 1 (Sean Carroll PhD),"So every point, every location on our little line",
44,Speaker 2 (child),"Has its own unit.",
45,Speaker 1 (Sean Carroll PhD),"Has its own unit, has one number.",
46,Speaker 2 (child),"Yeah.",
47,Speaker 1 (Sean Carroll PhD),"We need one number to tell you where we are.",
48,Speaker 1 (Sean Carroll PhD),"That's one dimension.",
49,Speaker 1 (Sean Carroll PhD),"That's what it means to be one dimensional.",
50,Speaker 1 (Sean Carroll PhD),"I only need to tell you one number to figure out where we are.",
51,Speaker 2 (child),"Unlike three dimensional, you have to tell a lot 'cause if it's like a sphere, you kind of have to start using points.",
52,Speaker 1 (Sean Carroll PhD),"There you go.",
53,Speaker 1 (Sean Carroll PhD),"Exactly.",
54,Speaker 1 (Sean Carroll PhD),"We're gonna build a little two dimensional space.",
55,Speaker 1 (Sean Carroll PhD),"You wanna do it?",
56,Speaker 1 (Sean Carroll PhD),"You wanna do the honors here?",
57,Speaker 1 (Sean Carroll PhD),"Why don't you put those two lines together?",
58,Speaker 2 (child),"If you make it two dimensional is this, a corner.",
59,Speaker 1 (Sean Carroll PhD),"Exactly, there you go.",
60,Speaker 2 (child),"Another way is if you have space in between is an angle.",
61,Speaker 1 (Sean Carroll PhD),"I think you should be in this chair and you should be explaining this to me.",
62,Speaker 1 (Sean Carroll PhD),"You're much better at this than I am.",
63,Speaker 2 (child),"Yeah.",
64,Speaker 1 (Sean Carroll PhD),"So those are the dimensions.",
65,Speaker 1 (Sean Carroll PhD),"That's how we think about dimensions.",
66,Speaker 1 (Sean Carroll PhD),"Remember, we just needed one number to find ourselves on the line, we need two numbers to find ourselves on the plane.",
67,Speaker 2 (child),"I think that would be an X or a Y axis, so",
68,Speaker 1 (Sean Carroll PhD),"There you go.",
69,Speaker 1 (Sean Carroll PhD),"So, do you think we could have more than three dimensions?",
70,Speaker 2 (child),"3D is the maximum of dimensions for shapes.",
71,Speaker 1 (Sean Carroll PhD),"Well, as far as we know.",
72,Speaker 2 (child),"Yeah.",
73,Speaker 1 (Sean Carroll PhD),"This is why physicists think about things we don't know about.",
74,Speaker 1 (Sean Carroll PhD),"We're wondering whether there could be extra dimensions you've never seen.",
75,Speaker 1 (Sean Carroll PhD),"Yeah.",
76,Speaker 1 (Sean Carroll PhD),"That are tinier than atoms.",
77,Speaker 1 (Sean Carroll PhD),"So, okay.",
78,Speaker 1 (Sean Carroll PhD),"So what have you learned?",
79,Speaker 1 (Sean Carroll PhD),"What do you know about dimensions now?",
80,Speaker 1 (Sean Carroll PhD),"How do you think about dimensions in a slightly different way than you did before?",
81,Speaker 2 (child),"So at least everything has a certain dimension.",
82,Speaker 1 (Sean Carroll PhD),"Yeah, do you think you'd be excited if physicists said that they found extra dimensions of space?",
83,Speaker 2 (child),"That would be an amazing discovery.",
84,Speaker 2 (child),"The news would be spreaded around the world rapidly.",
85,Speaker 1 (Sean Carroll PhD),"I think so.",
86,Speaker 1 (Sean Carroll PhD),"I think you're right.",
87,Speaker 1 (Sean Carroll PhD),"All right Hank, we want you to keep up studying, learn a lot of math and physics and help us discover new dimensions some day.",
88,Speaker 1 (Sean Carroll PhD),"Does that sound like a fun idea?",
89,Speaker 2 (child),"Yeah.",
