Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Samy Kamkar),"Hey Colin, we already know each other, but why don't you introduce yourself for the people watching?",
2,Speaker 6 (expert),"Hi, I'm Colin O'Flynn.",
3,Speaker 6 (expert),"I live in Halifax, Nova Scotia, Canada.",
4,Speaker 6 (expert),"I do hardware hacking both in academia at Dalhousie University, and in industry at my startup, NewAE Technology.",
5,Speaker 1 (Samy Kamkar),"What have you been up to?",
6,Speaker 1 (Samy Kamkar),"And yeah, what are you working on?",
7,Speaker 6 (expert),"Lately I've been doing, you know, always a little bit of side channel analysis.",
8,Speaker 6 (expert),"So what I really do, you know, is all hardware layer.",
9,Speaker 6 (expert),"So I've been looking, you know, at some various devices lately, at how susceptible they are to fault attacks, what that sort of means in real life.",
10,Speaker 6 (expert),"You know, not just purely the research side, but also how much should you care about it.",
11,Speaker 1 (Samy Kamkar),"Maybe a mutual acquaintance of ours, Jasper gave a example of fault injection, and I like to use that as, when I'm trying to explain fault injection, he shows a pinball machine and the pinball machine, obviously the two inputs are the two plungers when you're playing a pinball machine, but fault injection, you can tilt the entire pinball machine, right?",
12,Speaker 1 (Samy Kamkar),"You're just introducing some external variable that's outside of the traditional inputs that you're used to and you've now controlled the environment in a advantageous way to the user or the player.",
13,Speaker 1 (Samy Kamkar),"Can you give an example of some type of fault injection that you're doing or working on?",
14,Speaker 6 (expert),"One of them was looking at, like, a little hardware Bitcoin wallet, and you could use fault injection to actually recover secrets from it, and a lot of devices.",
15,Speaker 6 (expert),"I mean, the whole idea is pretty cool, right?",
16,Speaker 6 (expert),"Because you tell the device, Hey, I want to authenticate, and it's supposed to run some really crazy math that authenticates it, but instead of doing that crazy math and attacking the math, you just attack the check at the end.",
17,Speaker 1 (Samy Kamkar),"We're also scratching the surface of, like, what is possible?",
18,Speaker 1 (Samy Kamkar),"It's not necessarily just the system itself and not necessarily that algorithm itself.",
19,Speaker 1 (Samy Kamkar),"Like you said, you don't necessarily need to attack the math in some cases.",
20,Speaker 1 (Samy Kamkar),"You can just attack that check.",
21,Speaker 1 (Samy Kamkar),"And I think something that's been pretty cool is looking at higher energy particles.",
22,Speaker 1 (Samy Kamkar),"It's going to be maybe hard to entirely confirm, but I think it'd be really, really cool to actually see.",
23,Speaker 1 (Samy Kamkar),"Like, I want to see one of these faults because I haven't seen it myself.",
