Sequence,Speaker,Utterance
1,"Speaker 1 (Janna Levin)","So you're in college?"
2,"Speaker 4 (Lisa Chan)","Yes."
3,"Speaker 1 (Janna Levin)","And what are you studying in college?"
4,"Speaker 4 (Lisa Chan)","I am a physics major."
5,"Speaker 1 (Janna Levin)","So from your perspective, how would you describe gravity?"
6,"Speaker 4 (Lisa Chan)","I'm taught that it's a force."
7,"Speaker 4 (Lisa Chan)","Uh it's described by inverse law, but I also know that it's a field."
8,"Speaker 4 (Lisa Chan)","And there's a recent discovery with like gravitational waves."
9,"Speaker 4 (Lisa Chan)","Although I don't know like the specific details of about that."
10,"Speaker 1 (Janna Levin)","So when you say it's an inverse square law."
11,"Speaker 1 (Janna Levin)","That means that the closer you are, the more strongly you feel the gravitational pull."
12,"Speaker 1 (Janna Levin)","And that makes sense 'cause very few things are stronger when you're further apart."
13,"Speaker 1 (Janna Levin)","So you can also think of a gravitational field, something that permeates all of space, even though the Earth is three stories below us, it's not as though it's pulling at us from a distance, right?"
14,"Speaker 1 (Janna Levin)","That we're actually interacting with the field at this point and there's a real interaction right here at this point."
15,"Speaker 1 (Janna Levin)","And that's nice because people were worried that if things acted at a distance, the way the old fashioned inverse square force law describes it, that it was as spooky as like mind bending with spoons that it's like telekinesis."
16,"Speaker 1 (Janna Levin)","If you don't touch something, how do you affect it?"
17,"Speaker 1 (Janna Levin)","And so the first step was to start to think of gravity as a field that permeates all of space."
18,"Speaker 1 (Janna Levin)","And it's weaker very far from the Earth and it's stronger very close to the Earth."
19,"Speaker 1 (Janna Levin)","So one way to think of this field is as a field that's really describing a curved spacetime that is everywhere."
20,"Speaker 1 (Janna Levin)","Forget the difficulty of the math, just the intuition comes from two kind of simple observations."
21,"Speaker 1 (Janna Levin)","One was uh what Einstein described as the happiest thought of his life."
22,"Speaker 1 (Janna Levin)","So right now, you might feel heavy in your chair."
23,"Speaker 1 (Janna Levin)","And we might feel heavy on the floor in our feet or or standing in an elevator cab."
24,"Speaker 1 (Janna Levin)","And Einstein would have said, what does the chair have to do with it?"
25,"Speaker 1 (Janna Levin)","Or the floor or the elevator?"
26,"Speaker 1 (Janna Levin)","Those aren't gravitational objects."
27,"Speaker 1 (Janna Levin)","And so he wanted to eliminate them."
28,"Speaker 1 (Janna Levin)","And one way to do the thought experiment is to imagine standing in an elevator that you can't see out of a black box."
29,"Speaker 1 (Janna Levin)","And imagine the cable is cut and you and the elevator begin to fall."
30,"Speaker 4 (Lisa Chan)","So in free fall?"
31,"Speaker 1 (Janna Levin)","You're in total free fall."
