Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Daphna Shohamy),"So what are you studying these days?",
2,Speaker 5 (grad student),"Well, I'm preparing my dissertation.",
3,Speaker 5 (grad student),"The general topic is going to be how we perceive different types of social stimuli, like different people's faces and make judgements about them and how the way that we report on what we are experiencing tells us about what's actually going on inside our heads.",
4,Speaker 1 (Daphna Shohamy),"What I love about what you were describing is like you didn't use the word memory, were how you were talking about kind of perceptions and social judgments but I think probably we'd both agree that memory is a big part of that.",
5,Speaker 5 (grad student),"Oh of course.",
6,Speaker 1 (Daphna Shohamy),"Right, like it reminds me so much of, you know, what we in the field would refer to as statistical learning.",
7,Speaker 1 (Daphna Shohamy),"On one hand we might have like a one-shot memory, a memory of something that we saw yesterday, like what we did or what we ate or where we were.",
8,Speaker 1 (Daphna Shohamy),"But a lot of our memories and our knowledge instead are based on many, many, many experiences.",
9,Speaker 5 (grad student),"Oh, absolutely.",
10,Speaker 5 (grad student),"I think this sort of reminds me of another project that I'm doing.",
11,Speaker 5 (grad student),"It's fairly easy to get different participants to experience consistent negative emotions to the same stimuli, but with positive emotions it's so much harder to study.",
12,Speaker 5 (grad student),"I might not react the same to like this like cute cat video than someone else.",
13,Speaker 5 (grad student),"And I definitely believe that people's memory that they're bringing up unconsciously when they're experiencing something to make an emotional judgment informs especially our experience with positive emotion possibly more than negative emotion.",
14,Speaker 1 (Daphna Shohamy),"Some of those examples really remind me also some of the questions about kind of abnormalities in, in memory or trauma or disruptions in memory and how they also play out in terms of not just what people remember but what they do with those memories right?",
15,Speaker 5 (grad student),"As far as the way that my research plays into it is like the first step in making a judgment about what to do based on an experience we're calling from memory is deciding what your emotional response was.",
16,Speaker 1 (Daphna Shohamy),"I think what we're still kind of trying to understand as a field is the more kind of detailed and bigger picture of where does this model live?",
17,Speaker 1 (Daphna Shohamy),"How does it get updated based on experiences?",
18,Speaker 1 (Daphna Shohamy),"Why does that sometimes happen and sometimes not?",
19,Speaker 1 (Daphna Shohamy),"There are actually people who are born without a hippocampus.",
20,Speaker 1 (Daphna Shohamy),"They have disruptions to episodic memories.",
21,Speaker 1 (Daphna Shohamy),"They have trouble after this conversation remembering what the conversation was about, but they do have pretty good semantic information.",
22,Speaker 1 (Daphna Shohamy),"They have a good sense of knowledge about the world.",
23,Speaker 1 (Daphna Shohamy),"And that's interesting for two reasons.",
24,Speaker 1 (Daphna Shohamy),"One, it shows this association between the role of the hippocampus and these two forms of memory, episodic memories and semantic memory.",
25,Speaker 1 (Daphna Shohamy),"The other reason it's interesting is that people often assume that we get to semantic memory through episodic memory, that we encounter one dog and then another dog, and then another dog and then we learned the concept, the semantic notion of a dog.",
26,Speaker 1 (Daphna Shohamy),"And these people, their profile suggests that you can learn semantic information.",
27,Speaker 1 (Daphna Shohamy),"You can learn general knowledge about the world, even without ever having the capacity to build those individual memories.",
28,Speaker 5 (grad student),"In people with intact brains, you might use a particular process, but if that brain region that subserves that process is damaged, that it's not that you can't do it anymore you just now do it a different way.",
29,Speaker 5 (grad student),"Right.",
30,Speaker 5 (grad student),"It's really hard to tell people like, just don't use your memory to do this.",
31,Speaker 5 (grad student),"And we just sort of have to infer and guess at what strategies that they're doing.",
32,Speaker 5 (grad student),"Is there's a particular research question that the answer you think is gonna inform the research in your lab and perhaps in the rest of your field?",
33,Speaker 1 (Daphna Shohamy),"You know when I look back at, some of the work for my own lab and in the field in general, I really feel like some of the most exciting discoveries were not an answer to a question that was around before, but they were discoveries that made us realize we weren't asking the right question.",
34,Speaker 1 (Daphna Shohamy),"I think one example of that even has to do with the connection between memory and decision-making.",
35,Speaker 1 (Daphna Shohamy),"There was a discovery about how the striatum responds to rewards and to learning that just all of a sudden flipped the way we thought about the role of reward and learning and memory, and may force us to realize there was something fundamentally connected between these processes.",
36,Speaker 1 (Daphna Shohamy),"And that discovery just raised a whole new set of questions that didn't exist before.",
37,Speaker 5 (grad student),"Yeah, I guess then the trick is we need to be designing studies that will make us most likely to find those sort of unexpected things, which is kind of funny.",
38,Speaker 5 (grad student),"It's like how do you look for something that you don't know what it is?",
39,Speaker 1 (Daphna Shohamy),"Each project should be very focused and rigorous and know what a study is designed for.",
40,Speaker 1 (Daphna Shohamy),"But at the same time we have to keep our minds open, our eyes open for what else is happening.",
41,Speaker 1 (Daphna Shohamy),"Some of the most interesting discoveries didn't make sense at first.",
42,Speaker 5 (grad student),"As someone who is studying social phenomena I like to hear that.",
43,Speaker 1 (Daphna Shohamy),"There you go, exactly.",
