Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Daphna Shohamy),"We're here today to talk about memory.",
2,Speaker 1 (Daphna Shohamy),"When I say the word memory what comes to your mind?",
3,Speaker 2 (child),"Like I once went on vacation to Dominican Republic.",
4,Speaker 2 (child),"I think I was like six or five years old.",
5,Speaker 1 (Daphna Shohamy),"So on your trip what was the funnest day ever?",
6,Speaker 2 (child),"There was this pool, I love pools.",
7,Speaker 2 (child),"And then there's a slide you go down and there's pool noodles in there too.",
8,Speaker 2 (child),"And then there's a little tiny sandbox.",
9,Speaker 1 (Daphna Shohamy),"It's pretty amazing, right?",
10,Speaker 1 (Daphna Shohamy),"Because it happened like a year or two ago.",
11,Speaker 1 (Daphna Shohamy),"Our memory is basically a record in our brain of something that happened in the past, but that record it created isn't perfect.",
12,Speaker 1 (Daphna Shohamy),"So that day, do you remember was the pool at your hotel?",
13,Speaker 2 (child),"I don't really remember.",
14,Speaker 1 (Daphna Shohamy),"Do you remember from that day what color towel you used when you got out of the pool?",
15,Speaker 2 (child),"I think the one I used was a dark blue or a light blue or, or like sort of a teal.",
16,Speaker 1 (Daphna Shohamy),"When you were telling me about the sandbox, it felt like you didn't have to make that guess, that you could just see the sandbox in your eyes.",
17,Speaker 1 (Daphna Shohamy),"I asked you about the towel.",
18,Speaker 1 (Daphna Shohamy),"It doesn't come to mind immediately, but you can stop and think about it and kind of make a good guess because there are things you know about the world.",
19,Speaker 1 (Daphna Shohamy),"And for those of us who study memory that's a really strong hint as to how memory works.",
20,Speaker 1 (Daphna Shohamy),"And so for you your memory kept all the fun stuff and all the stuff that was important to you, but the details like did you have to have a ticket to get in or how you got there, all these other less interesting, less exciting aspects, your brain kind of decided letting go of all that information.",
21,Speaker 2 (child),"I think as you get older you start forgetting things more because you have to make space for new things, which is why you forget stuff.",
22,Speaker 1 (Daphna Shohamy),"Yeah, that's a great insight.",
23,Speaker 1 (Daphna Shohamy),"Basically we can't remember everything.",
24,Speaker 1 (Daphna Shohamy),"So when you tell us this memory of that vacation and your brain is able to kind of play almost this movie of a memory, a moment, a day that you had in your life a while ago, where do those memories come from?",
25,Speaker 2 (child),"I do know that there's different parts of the brain.",
26,Speaker 2 (child),"So there's probably a part of your brain that remembers a bunch of stuff.",
27,Speaker 1 (Daphna Shohamy),"The hippocampus is a part of your brain that if you kind of took it out and looked at it, it looks a lot like a seahorse and it plays a really important role in creating those kinds of memories that help you two years after your vacation share with me what happened that day, all these details of that day.",
28,Speaker 1 (Daphna Shohamy),"There's another part of the brain.",
29,Speaker 1 (Daphna Shohamy),"It's actually also important for memory and it's called the amygdala and it is important for keeping all the kind of emotional processing going for memory.",
30,Speaker 1 (Daphna Shohamy),"So memory for things that are really scary, it's gonna talk to the hippocampus now and get that memory to be really strong.",
31,Speaker 1 (Daphna Shohamy),"Why do you think it might be important to remember scary things?",
32,Speaker 2 (child),"Let's say you, you accidentally cut yourself.",
33,Speaker 2 (child),"Then your brain makes a note and says don't get too close to sharp things, or you're going to cut yourself again.",
34,Speaker 1 (Daphna Shohamy),"You got it.",
35,Speaker 1 (Daphna Shohamy),"And so we don't just remember everything and we don't remember random things.",
36,Speaker 1 (Daphna Shohamy),"We remember the things that matter to us the most.",
37,Speaker 1 (Daphna Shohamy),"So Abigail based on our conversation today, can you tell me what is a memory?",
38,Speaker 2 (child),"A memory is something stored in your hippocampus and your hippocampus is a part of your brain.",
39,Speaker 2 (child),"It's just a big record.",
40,Speaker 2 (child),"And sometimes you can forget parts of the record that's not that important to you.",
41,Speaker 1 (Daphna Shohamy),"You got it.",
