Sequence,Speaker,Utterance,Notes
1,Speaker 6 (expert),"I can say that when you reached out to me and I first learned about this program, I immediately went to my computer and I implemented yet another version of like zooming into the Mandelbrot set.",""
2,Speaker 1 (Keenan Crane Phd),"Yeah.",""
3,Speaker 6 (expert),"Just because I was so excited, you know?",""
4,Speaker 6 (expert),"So that the thing is that it took me maybe 30 minutes.",""
5,Speaker 6 (expert),"A kid at home who's like 13 and 14 who just starts playing around with a simple computer program can make incredibly beautiful fractals.",""
6,Speaker 1 (Keenan Crane Phd),"Yeah for sure.",""
7,Speaker 6 (expert),"And I think that's one of the things that's exciting about it.",""
8,Speaker 1 (Keenan Crane Phd),"Or you don't even need computers.",""
9,Speaker 1 (Keenan Crane Phd),"Like I remember when I was a kid, I played electric guitar and I had all these guitar pedals with different effects and oh, what happens if you put the output back in the input and just run it through itself, you're gonna start hearing this kind of fractal sound, right?",""
10,Speaker 1 (Keenan Crane Phd),"So today we've been telling people, fractals are things that are somehow self-similar, they have detail at all scales.",""
11,Speaker 1 (Keenan Crane Phd),"Are there other ways you might introduce fractals to somebody or are there other things you might say, this is what a fractal is?",""
12,Speaker 6 (expert),"I think you could get to the reasons why does a coastline look like a coastline at all different scales?",""
13,Speaker 6 (expert),"It's because the forces of nature tend to work similarly at all different scales.",""
14,Speaker 6 (expert),"And it's those forces that are doing very, very simple things over and over and over again that are constantly creating the sense of detail.",""
15,Speaker 1 (Keenan Crane Phd),"I think about like the scale and variance of different physical equations, like navier-stokes is, you know, kind of scale and variant, you know, this Reynolds number that tells you how viscous things are, but you can have the same kind of fluid behavior at all different scales.",""
16,Speaker 1 (Keenan Crane Phd),"And that's why you get turbulence at all different scales.",""
17,Speaker 6 (expert),"Yeah I actually actually remember the moment when I finally figured out how to make turbulence in computer graphics, I was working for this company, Maggi and Disney was working on a movie.",""
18,Speaker 6 (expert),"I think it was weird science where they wanted to have a marble vase.",""
19,Speaker 6 (expert),"And then about three in the morning, I was at a diner nearby and I was pouring the cream into the coffee and I was watching it and I started watching it swirl around.",""
20,Speaker 6 (expert),"And I realized that what was happening was really simple that you had this line of cream and then it hits the cup and it folds and then the folds get caught up.",""
21,Speaker 6 (expert),"And then that folds again.",""
22,Speaker 6 (expert),"And it's a really simple process of folding within folding.",""
23,Speaker 6 (expert),"And I just went to the computer and did that.",""
24,Speaker 6 (expert),"Yeah.",""
25,Speaker 6 (expert),"And things look like marble and looked like flame.",""
26,Speaker 6 (expert),"And they looked like clouds.",""
27,Speaker 6 (expert),"And they look like you just keep using those simple techniques.",""
28,Speaker 1 (Keenan Crane Phd),"Yeah and I think it's really cool that this kind of fractal description of geometry or physics is also kind of baked into the nature of computation.",""
29,Speaker 1 (Keenan Crane Phd),"Computation is recursive kind of biased nature.",""
30,Speaker 1 (Keenan Crane Phd),"And so it's kind of a match made in heaven that we happen to build these machines that also You know, behave the way that nature does.",""
31,Speaker 6 (expert),"Right.",""
32,Speaker 6 (expert),"You just have to understand recursion.",""
33,Speaker 6 (expert),"Exactly.",""
34,Speaker 6 (expert),"So somebody once told me in order to understand recursion, you just have to understand recursion.",""
35,Speaker 1 (Keenan Crane Phd),"There you go.",""
36,Speaker 6 (expert),"And then you get it all.",""
37,Speaker 6 (expert),"Yeah.",""
38,Speaker 6 (expert),"But I think it's this point that that point with the coffee is important because the forces we're operating at one scale, they're operating at the scale of the coffee cup.",""
39,Speaker 6 (expert),"But over time they kept making details that were smaller and smaller.",""
40,Speaker 6 (expert),"Process at one scale, plus time you get fractals.",""
41,Speaker 1 (Keenan Crane Phd),"I think that's also, what's so beautiful about fractals is that, you know, if you think about sort of the history of geometry as well, Felix Klein was looking at geometry by saying, well, geometry is all about in variance.",""
42,Speaker 1 (Keenan Crane Phd),"I have some group of transformations and I look at objects that are sort of in variant with respect to these transformations.",""
43,Speaker 1 (Keenan Crane Phd),"So if you just look at translations, okay, what kinds of shapes remain the same under translations?",""
44,Speaker 1 (Keenan Crane Phd),"Will you get tiling?",""
45,Speaker 1 (Keenan Crane Phd),"You get wallpaper.",""
46,Speaker 1 (Keenan Crane Phd),"And if you start asking that same question, what if I allow scaling in my transformations then boom, you have fractal.",""
47,Speaker 6 (expert),"Immediately, right.",""
48,Speaker 6 (expert),"Come out of nowhere.",""
49,Speaker 6 (expert),"And when everybody understands scaling.",""
50,Speaker 6 (expert),"Right?",""
51,Speaker 6 (expert),"Scaling is a simple thing yeah.",""
52,Speaker 1 (Keenan Crane Phd),"Now you work on kind of the future of virtual reality and augmented reality and extended reality.",""
53,Speaker 1 (Keenan Crane Phd),"But it's kind of interesting because I think if I think about exploring these infinite fractal landscapes in some way, they still feel a little bit lonely or they feel a little bit poor of the kind of richness that we have in the real world.",""
54,Speaker 6 (expert),"This is where machine learning starts coming in, because you can start saying, okay, this is a very, very rich virtual world, but it's informed by, you know, my favorite mountains that I saw in Italy once.",""
55,Speaker 6 (expert),"So you can start training these fractal worlds on things about the real world that have particular emotional resonance for us.",""
56,Speaker 1 (Keenan Crane Phd),"People outside of computer graphics and engineering and science and so forth have also thought a lot about and used fractals as a language for talking about nature, for characterizing shapes and behaviors and so forth tissue or friction, or all sorts of really important phenomena.",""
57,Speaker 1 (Keenan Crane Phd),"Do you think that computer graphics has kind of dropped the ball in terms of saying, you know, this is not something that's exciting anymore to work on procedural descriptions and we're, we're moving on from that?",""
58,Speaker 6 (expert),"Well, I mean, if you look at any Hollywood movie or you look at any of the game worlds that people are spending all their time in they're highly procedural, they have to be, and they have to make use of fractal techniques because it's basically a way to get enormous complexity without having to explicitly store the complexity.",""
59,Speaker 6 (expert),"And because they're able to use these relatively simple fractal techniques to make very complex looking natural things.",""
60,Speaker 1 (Keenan Crane Phd),"Right?",""
61,Speaker 1 (Keenan Crane Phd),"Lazy evaluation, we love being lazy in computer graphics.",""
62,Speaker 6 (expert),"Well, it's also, it's not even possible to explore, to store an entire world in your computer.",""
63,Speaker 1 (Keenan Crane Phd),"Absolutely.",""
64,Speaker 6 (expert),"You wanna be able to sort of generate it on the fly.",""
65,Speaker 6 (expert),"I'm looking forward to things getting better.",""
66,Speaker 6 (expert),"We're not there yet.",""
67,Speaker 1 (Keenan Crane Phd),"So one of the things I guess that touches on is this question about controllability or the ease of, with which everybody can create these worlds.",""
68,Speaker 1 (Keenan Crane Phd),"Not just people, not just mathematicians, not just, you know, trained computer scientists.",""
69,Speaker 1 (Keenan Crane Phd),"One thing when I think about Ken Musgraves working about this program, Bryce, this one I felt like I could really use, what do you think we still need to do in terms of putting these kinds of tools in, in people's hands, making it easier for people to use procedural machine learning, to build these kind of worlds?",""
70,Speaker 6 (expert),"I think in that case, it came down to the fact that Ken in particular had a mission to make accessible tools for people without sacrificing the power and the richness of making beautiful things.",""
71,Speaker 6 (expert),"I mean, in a sense he was kind of the computer graphic, Bob Ross.",""
72,Speaker 6 (expert),"You know?",""
73,Speaker 1 (Keenan Crane Phd),"So He made a lot of happy little trees.",""
74,Speaker 6 (expert),"Yeah, yeah, yeah.",""
75,Speaker 6 (expert),"Which, I mean, when you, when you think about the techniques of somebody like a Bob Ross they're fractal.",""
76,Speaker 1 (Keenan Crane Phd),"Yeah.",""
77,Speaker 1 (Keenan Crane Phd),"And I think this is what what's so beautiful also about Mandelbrot's work is him saying, you know, it's not really about these exotic examples.",""
78,Speaker 1 (Keenan Crane Phd),"Like even the Mandelbrot set or Julia sets or whatever.",""
79,Speaker 1 (Keenan Crane Phd),"Yeah they're like really interesting mathematical curiosities, but they get at this idea that fractals are kind of inevitable.",""
80,Speaker 1 (Keenan Crane Phd),"And Bob Ross probably never, as far as I know, never sat down and you know, thought about recursive descriptions of trees or anything like that.",""
81,Speaker 1 (Keenan Crane Phd),"But it's just something that naturally comes to you as an artist.",""
82,Speaker 6 (expert),"Well, I mean, you can go back to all the classic artists da Vinci's notebooks were just full of like, this thing looks like that thing at completely different scales.",""
83,Speaker 6 (expert),"So he didn't have a fancy word for it, but he completely understood it.",""
84,Speaker 1 (Keenan Crane Phd),"Yeah it's really part of human nature or human's connection to nature.",""
